block,HHI
11399995,1475.614791944713
11400006,1284.4421255126003
11400007,1285.0315738730874
11400033,1279.98759494979
11400051,1278.4344913710863
11400054,1278.407868234602
11400057,1232.5850072009302
11400418,1278.407868234602
11400501,1276.8288509329832
11400506,1251.724909743201
11400622,1251.709440599854
11400811,1251.5575464152198
11400825,1251.2999196742696
11400897,1251.2963120169945
11400905,1249.5096244927252
11400924,1248.9836590336713
11400948,1248.6493917416683
11400978,1247.282650336612
11400998,1242.101401326538
11401099,1230.3047910440953
11401165,1206.1392511934018
11401305,1194.0674455844676
11401422,1085.4510969615135
11401438,1085.3668312596988
11401443,1085.261777209832
11401468,1084.5273703081398
11401681,1082.9561574151196
11401756,1080.1013530986029
11401772,1080.5431622258077
11401794,1057.8844108721905
11401875,1058.8176235317521
11401970,1090.2553260261686
11402005,1013.3581080610161
11402066,1008.7177794122899
11402195,1008.5348170594386
11402520,1009.0824566440261
11402590,1085.4323562589968
11402709,1079.341225300885
11403170,1074.8799399355257
11403258,1074.677751743958
11403291,1074.8799399355257
11403300,1066.928346766616
11403409,1064.927780974761
11403508,1062.4718146203847
11403601,1061.1813136948856
11403616,1044.6090914790882
11403995,1035.3792890715913
11404094,1035.3430869643237
11404103,1020.0056508573921
11404126,1012.7263330678227
11404252,1012.1174650772982
11404551,1018.3875943676591
11404633,1016.5243013386792
11404681,1016.4308700704863
11404742,1014.3644045154654
11405015,970.4192869160271
11405020,949.5405252390293
11405211,949.5321214319292
11405225,949.5228512488221
11405300,949.8513962425335
11405370,949.8606712750607
11405400,953.190310757828
11405673,995.8730224034077
11405755,996.8973531520151
11405962,988.9506337525747
11405981,928.238633429269
11406080,927.0852487490348
11406112,850.8014288890028
11406160,850.6689433453399
11406187,850.0928354758408
11406206,848.7408666406833
11406304,848.699728151669
11406414,848.4941995724192
11406418,831.4411983054155
11406420,830.807346391978
11406622,830.2695620534553
11406667,828.9696776210111
11406772,824.9407895147892
11406776,824.5480825191482
11406869,824.472189237821
11406887,824.4708771779499
11406923,1056.698721970474
11406955,1056.772531710065
11407000,807.0187111952472
11407016,805.1178666903453
11407036,805.0602286322364
11407363,804.1158348261891
11407367,804.0842720012929
11407539,794.4994275753611
11407624,795.3007960452676
11407631,793.8205739018774
11407650,861.7159857271558
11407680,861.5704459247156
11407712,861.3457477502014
11407801,872.7121610917204
11407875,853.9580623564344
11407885,846.9333394116179
11407976,847.0777536805658
11408049,848.3160227292269
11408079,847.8861776432649
11408146,843.6905136025131
11408146,843.6905136025131
11408148,896.1055581454351
11408210,885.8995925446591
11408237,883.0905942762042
11408242,875.6432474132123
11408277,875.4152224332481
11408313,863.984316314987
11408393,863.880597232441
11408477,866.6863314639671
11408577,825.2451982573186
11408611,803.241107480211
11408906,866.6863314639671
11408935,866.5108603810704
11409017,866.43480637302
11409076,866.47238479853
11409182,864.8411807228758
11409195,864.7541299534804
11409399,864.1659646904527
11409672,864.0173411993499
11409683,864.1659646904527
11409691,863.7351751748853
11409765,863.722233504684
11409800,863.7222606323467
11409870,838.2005213881631
11409874,838.054430014714
11409928,773.3710754396326
11409950,773.4959123803632
11410111,773.4322224907805
11410145,751.8393413423162
11410155,751.0438736845866
11410204,750.3702465532621
11410224,750.3714028321749
11410329,750.354063492661
11410342,748.0807955668344
11410364,748.0635385537379
11410414,753.1524558735513
11410433,751.9016893799777
11410434,750.968020008617
11410434,750.968020008617
11410445,750.0277215085274
11410449,749.9454826972703
11410509,747.4038344225653
11410539,747.2904596113056
11410571,747.0240749391705
11410625,746.5301532335648
11410625,746.5301532335648
11410660,746.3253560309399
11410668,746.2912859227714
11410673,806.3139336833518
11410675,806.2012930762766
11410920,804.122543448132
11410929,803.4482336069985
11410952,803.3018119726221
11410973,802.9827015218718
11410974,808.1936001109731
11410975,808.0556036692782
11411037,805.3307523386012
11411079,804.6352320063291
11411177,746.5403851394383
11411322,735.7343271842501
11411342,735.1522058824952
11411357,734.9773741506308
11411360,724.0880338068441
11411360,724.0880338068441
11411389,714.7901061086386
11411485,714.6841095065766
11411525,704.0364183344021
11411575,703.8723262572943
11411586,702.6538787375347
