block,HHI
11404303,4063.34659930778
11404327,3724.9500941518313
11404379,3658.4968381089393
11404392,3201.4216359744146
11404561,3217.551807527759
11405242,3331.562961471524
11405402,3331.378134850546
11405489,3327.8031144285924
11405576,3325.884532048528
11405639,3325.3609399198895
11405918,3044.3553984866403
11406349,3043.503676550595
11406787,3025.1064363058767
11407126,3024.7048272431102
11407606,3571.4664944560964
11407628,3567.813966791023
11407634,3567.777443905891
11407759,3567.7044015042206
11407817,3531.7213602143725
11407844,3531.793297722017
11407876,2833.3623592750782
11407883,2619.840146050286
11407892,2621.8836157439623
11407899,3535.3904921374256
11408049,3534.6702361412504
11408144,3533.2320789657742
11408185,3533.0849601392492
11408263,3502.754541238488
11408300,3497.402253864736
11408393,3495.9854141371334
11408567,3495.3041928403322
11408608,3493.7740665182905
11408676,3483.17120849458
11408739,3482.9520030286662
11408745,3493.5538586397474
11409125,3479.5027941565145
11409191,3472.4902310109137
11409228,3411.2222352725967
11409404,3344.952036704725
11409557,3345.2937762843217
11409682,3345.2931134646424
11409910,3345.1948866933594
11409929,3343.197985840465
11410235,3338.442870723347
11410329,3053.2970916850145
11410370,3338.442870723347
11410382,3322.0098024610734
11410463,3304.7727151355866
11410486,3304.141666924478
11410491,3297.6746776260466
11411158,3300.89836255194
11411180,3297.674683497095
11411505,3330.112521962385
11411511,3197.777026788294
11411932,3194.8169433517724
11412015,3197.3009211962835
11412076,3193.3568963780517
11412109,3226.21887493628
11412148,3230.2241414619753
11412239,3230.6327006388224
11412317,3233.6428491485335
11412452,3234.6530042494323
11412808,3141.265664114923
11412936,3234.6530042494323
11412953,3401.9381995642775
11413879,3405.5456402638188
11414060,3405.527522192127
11414108,3412.7798445083963
11414600,3370.620845971962
11414850,3377.7492347941625
11415262,3377.254590325
11415374,3384.300815460106
11415470,3348.22015748088
11415495,3384.300815460106
11415653,3391.3918813544205
11416543,2898.4910136259155
11416561,2898.2160159297146
11416932,2888.6506051204938
11416942,2888.886886354872
11417062,2955.6789729043685
11417082,2955.4042298152276
11417110,2955.6789729043685
11417288,2957.404467830684
11417350,2806.830337001927
11417966,2807.2225654175136
11419065,2827.6145287040326
11419485,2802.0755503382156
11419781,2800.7805164087945
11419798,2801.7589490756873
11419864,2801.4998295039914
11419922,2801.629379149122
11420445,4558.377061086902
11420458,2309.8831186864663
11420598,2178.8110410826293
11420652,2309.8831186864663
11421920,2309.659388317574
11422203,2309.8831186864663
11422502,2310.1754096359377
11422681,2285.344974455023
11422998,2281.307973989899
11423597,2238.4382364389076
11423645,2281.307973989899
11424415,2281.307830618799
11424530,2153.7693874995284
11424779,2153.7667628355316
11425600,2153.948194740538
11426607,2349.8742385027444
11426763,2349.7217822405914
11426778,2349.4169355191884
11426783,2348.371590482366
11426834,2340.886940886827
11426941,2325.9046438155215
11427001,2296.077003080751
11427066,2296.8930537000356
11427383,2274.476554361617
11427546,2273.667709781946
11428502,2259.3299532793817
11428791,2255.1714582392415
11429065,2243.0754187404173
11430553,2236.96820735374
11430767,2170.407260020472
11430771,2243.0754187404173
11430803,2249.470262622428
11430880,2262.4672711031844
11430945,2262.3028733490355
11430956,2200.152067869331
11431377,2199.7427556822486
11431388,2200.152067869331
11432121,2186.4791413360003
11432729,2186.2271390433466
11432819,2182.933796925646
11433002,2244.3416420997996
11433368,2264.363954677909
