id,pool,user,collateralReserve,collateralAmount,principalReserve,principalAmount,liquidator,timestamp
14966159:10:0x1ebff959fedf659ef8643d365d12b5da25a08902ab92b74c7ba3410ee6fff622:52:52,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xbf8f5f5ea7ecce4111aa456c01dd4c22b08ccae5,WETH,398224133201215483,BUSD,425689003672876431888,0x9a0ef593dcc6a77f80699c9fa00d1e138b67d832,1655275796
14966156:11:0xc2e0eb78cccf1a7748c4117fef2eca14c5f28fda4f32465a2728b7c1966449f8:109:109,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x80676045de2d83491c5908146849ddfacb616188,WBTC,1797947,BUSD,352077164594320413227,0x9a0ef593dcc6a77f80699c9fa00d1e138b67d832,1655275771
14966155:1:0xe2bcc951fef861e7a50fbf348e55b46da303184ad5c0fb74b4bd03b615cacc6e:26:26,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x4493c95f22f6f05bce4e013ba10a38ec58fc94e8,WETH,403183420392341096,DAI,429283152623877160960,0x8472ee188899569cf6ef42bb2038facae66972d2,1655275759
14966127:22:0x20a798955a9e35423b6538a8fa676adcdf1c0c271ea8fbfe7dd783545febbd2d:218:218,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x5f82f44fdb8a8c399ba38e7811811e8b08f31327,WETH,348578163345849822,USDT,369954706,0x8472ee188899569cf6ef42bb2038facae66972d2,1655275378
14966093:29:0x98d01d8b04c95522f074eedaae60d4b56287462a8b24f5f9d50ff0276700b0cc:52:52,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x31e5b1fcd09a14203c24690144e5f6bbdf1e8622,WETH,400583824523626695,USDC,423904270,0xd911560979b78821d7b045c79e36e9cbfc2f6c6f,1655274813
14966081:3:0x651b90d32b7cc4626aecfcabbf53b6eb8c18b08c2c7f3e9b1b8441f947df1a19:18:18,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x6f2827f159a5df21be24f47f2ea893f7e3a35fe5,WETH,564666707817622641,USDC,597539426,0xd911560979b78821d7b045c79e36e9cbfc2f6c6f,1655274648
14966080:19:0x4b860aed2ef14d4e35c84a555db8175d42a842f9eda740fdf99e77f1bfefc6db:38:38,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x434664a34422e6933c3941c400817d46c32713cf,WETH,570058468054892334,USDT,605017282,0xd911560979b78821d7b045c79e36e9cbfc2f6c6f,1655274623
14966079:4:0x5ecd61b0dec94df9eea6dd496ea3f4ab1fa924a32ee630d58b9ca26b281486c2:40:40,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xc75fcf15048d1c2f2205cd58942991ac4e4a4231,WBTC,4822777,SUSD,933522422359513692833,0x5e767aa6204ece873c7d9405c4bca49cd3e0bf39,1655274620
14966071:11:0x5e267fc01f45fe315d276c67f9b6a5e93925549a600c664f837fe9856ea6dd45:86:86,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xa496d3cc2a62d917c33bc1fc191e032387d30a3a,WETH,441644845242620092,USDC,467355705,0x8472ee188899569cf6ef42bb2038facae66972d2,1655274532
14965998:15:0x04777ecc864e4f004601462d80027adf45273c0a5dd8eeb8914040dc6ea9ef1e:107:107,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x6094e0fce12789b572a12be38535e06d050db263,WBTC,1582581,USDC,310010144,0x8472ee188899569cf6ef42bb2038facae66972d2,1655273158
