id,pool,user,reserve,borrowRateModeFrom,borrowRateModeTo,stableBorrowRate,variableBorrowRate,timestamp
15000545:132:0xbb154139a23e7a07cc02f44227fb23813ad40800f6fb27ed886bd4bf4254b2c6:250:250,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x8b70d03dc120d116948b0bc2ec06babdb2f88b84,DAI,Variable,Stable,114589514278791484470323847,29179028557582968940647694,1655787143
14989362:67:0xb49f445702e09d98a256b492f67630ca2f5dff959232e330e009c94247f2cd91:129:129,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xbe9064c409224d858f5fb12a5d3e8e417d9e28b7,USDT,Stable,Variable,118784498168123637290830873,37568996336247274581661746,1655620324
14988154:164:0xae1b6054ca92f9e0ca052eba0379dafaba3e1f151e551a6fe9a9b0c06fd1cbea:271:271,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x083fc8658dedf597ad59d4e054daca06febb701c,USDT,Stable,Variable,118350907367358050840473159,36701814734716101680946318,1655602231
14988036:159:0x311bfb06bbd4298a0c4215397fbf61354722185a8871e19ed5d1967e7477f33c:188:188,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x7e204283c12687b8f657bc0dd254ffe79dfd4028,USDC,Stable,Variable,100023278643737339873765803,20046557287474679747531606,1655600249
14986256:16:0xab47812503f21830e51e6c50dd94e25f1cbaac41f986de8c07171a28bfeb1b9c:119:119,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xbe9064c409224d858f5fb12a5d3e8e417d9e28b7,USDT,Variable,Stable,119666422804437931871119479,39332845608875863742238958,1655574134
14985977:288:0x6509610e471c21e731e1925b7ce60590730bb7be9a4af6afae8fdcff3d93f525:452:452,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xe47d5cc33517d5b8433ff249efe094b989989acc,TUSD,Stable,Variable,106897937602162553597035488,13795875204325107194070976,1655570112
14985901:14:0x4bad40fdb298a1d5ef0e64bb0fde31ce176fdeb8731ee45eba2ee8a29583d909:65:65,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x4da08ac2e4e79678f218f134b0a6f8732ed5b5e4,USDC,Stable,Variable,100521771908153250913117776,21043543816306501826235552,1655568953
14985897:24:0xccac8e86313c09069a0142a43c7d8fcae02c4d5c5b2ae2dcda52c14acb349551:70:70,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x4da08ac2e4e79678f218f134b0a6f8732ed5b5e4,DAI,Stable,Variable,112531488504352314116855268,25062977008704628233710535,1655568882
14984414:35:0x6b695019c7a192ff01f190ceff9dade1c34850809b1618740c487bdcb1d686ea:77:77,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x7a840ed1845f401f8de79d2a1a9c1fb827e55648,DAI,Stable,Variable,111384806012421614263615265,22769612024843228527230530,1655547045
14962446:261:0xc98502c75a717695fe47ef7e6ba53ea50fe4cbb741fc7fa4fced4e2d8f0b135d:342:342,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x09db5490aa2e7c37f033dc6c6054308e4c7c7985,WETH,Stable,Variable,53062279202891464402409079,17296709402168598301806810,1655220582
14961134:369:0xce88e40275e4a0730518942a02f56cb456dc0cf8eca2482a83bf254a25a328b7:560:560,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x754c48538c2318f76917b8a2282a6d443dd4d0c2,DAI,Stable,Variable,113750603394834302052780098,27501206789668604105560196,1655200580
14956739:17:0x37f9dceb588e56cdfd69e7dc8a0b691fbbe813a034806b64fa49c66caa73618d:27:27,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xbacb58a5bd0e2df0b3d3e82a1c75ad565a417cd6,MANA,Variable,Stable,330825733988559166162427605,270825733988559166162427605,1655134784
