id,user,caller,reserve,amount,borrowRate,borrowRateMode,timestamp,stableTokenDebt,variableTokenDebt
15250818:77:0x0fc81e9cf460c3b3ff397a563b6e15b4feda59581ca461f69316befe342bef87:159:159,0x520c103a09a713d8e30aefe7d85d8be008e0ca9f,0xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,WETH,30000000000000000000,19318552800649862245100100,Variable,1659278267,0,29486711885750522688
15250791:2:0xa0a94473c3e9423020da7574669608abf0bed8291bd83c0e6864c81e782f0aff:47:47,0x0fe20e0fa9c78278702b05c333cc000034bb69e2,0x0fe20e0fa9c78278702b05c333cc000034bb69e2,WETH,3964958475227785805,19318559426876163373893870,Variable,1659277931,0,885178811434193218600
15250749:91:0xefd3ba166f113c57c672d29e533efbfcf1bb9d1620bd9ca6941018101bcb0ad5:180:180,0x72868e2b236b3bdfec085808fef07725340e7680,0x72868e2b236b3bdfec085808fef07725340e7680,WETH,3002142225689294726293,19287848285755560604428316,Variable,1659277350,0,26664907015143172366839
15250746:78:0x85c7611158c0762b4b6fa06ea4be41c310e8ba090db35961c7343d4978bd4f00:127:127,0x24c47db1cc0ba028836bf808175c044055d037ec,0x24c47db1cc0ba028836bf808175c044055d037ec,TUSD,676001395425891656615002,5547558784508698082958731,Variable,1659277298,0,571187407313852057703657
15250735:144:0x6a8e4ab0f26f6f78ce350201780bebad5eac684259d8e8101fe79acaa1af3297:318:318,0x08c9573a3a9235b712237747a88989dcb24d4a34,0xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,WETH,12000000000000000000,19159969694216493029932346,Variable,1659277201,0,11794692447365246139
15250732:105:0xa55f70b101e9cb4e3ad45c5c48a470e1dde1545a30e5ffcd71610483981b95e8:272:272,0x08c9573a3a9235b712237747a88989dcb24d4a34,0x08c9573a3a9235b712237747a88989dcb24d4a34,WBTC,90000000,4837796739387928178421366,Variable,1659277144,0,88993224
15250727:183:0x6adf2fc81a489d5f210658299401834742cd19d6c67347f184f4588624c2ce1e:431:431,0xfa22719c1970c7a6c5ee8b7eb4886f6df515b994,0xfa22719c1970c7a6c5ee8b7eb4886f6df515b994,USDC,4000000,17422207320124564451683484,Variable,1659277066,0,3603188
15250653:42:0x028fb65198e74cb3df5cf885ea586987c23a1249f3981617235bb915f543c64a:80:80,0x9b43818e253baed56e14a96d677347a06c77c6c1,0x9b43818e253baed56e14a96d677347a06c77c6c1,USDC,1000000,17422202487186820366988098,Variable,1659276276,0,900797
15250644:251:0x50ee66f3e01fa40317bf3b804a261774a0e205be5d3b5433db0b443113e0a74e:610:610,0x602bd4953b28fae526d4568f7954b1fb15f84c96,0x602bd4953b28fae526d4568f7954b1fb15f84c96,USDC,200000,17422200964990827978259249,Variable,1659276034,0,180160
15250628:248:0x5cc588b70493ff5d38b2f4db92dfa64499bcdcf4b2e407419db293fc3df498e8:635:635,0x20ef32478435337418e2be0ad1eda5cb5fd1bcbd,0x20ef32478435337418e2be0ad1eda5cb5fd1bcbd,USDC,1,17422199533896926869926658,Variable,1659275802,0,1
15250628:152:0x7723995351f7bcb742c215a481d62846a669b9e5e6a2457b60a99259633da45b:440:440,0xa1e57e891a7786667611667a9caed87dc4fd7af4,0xa1e57e891a7786667611667a9caed87dc4fd7af4,USDC,30000000,17422199533896889698305754,Variable,1659275802,0,27023932
15250615:377:0xe329203765d3fd5e050bbddebb561b3634d035645ac234d1a24d103a2a1a844f:462:462,0x5b0c5fcd417aa1c57961f2c7e34f697813762a16,0x5b0c5fcd417aa1c57961f2c7e34f697813762a16,BUSD,140941796462842279504,16074578838551314132866873,Variable,1659275647,0,124284057066866828150
15250615:347:0x547e26a23dee862c33620bfe4379667cbcc3c8c00ee73e7941b08493496182dd:420:420,0x8d430c9bfa0b49e2a13b5635410b40b5b429d028,0x8d430c9bfa0b49e2a13b5635410b40b5b429d028,USDC,7500000,17422197467596550057826811,Variable,1659275647,0,6755983
15250608:318:0xe23cfb8ef72fb1b010d3ae9600dfdca728437901bf7ee958ea38e4ff6bc9a200:583:583,0x6213aeb0360262f671ebb6c0093aaef8b5a251ad,0x6213aeb0360262f671ebb6c0093aaef8b5a251ad,USDC,4000000,17422196881986274499327169,Variable,1659275597,0,3603191
15250606:18:0xbf3fc905350531bb3cd194b9620c7b75fb38b045035561b619e61e38efb2a09d:32:32,0x6de9f901ce72234736679641e5d3f97ce3a35274,0x6de9f901ce72234736679641e5d3f97ce3a35274,USDC,100000000000,17422196598297638379146907,Variable,1659275575,0,1216251802363
15250596:43:0x74b62e212f3fd970dd31ecbb53610ca33dfcc883136c08f82f112b2d59a8b2eb:70:70,0x53b2d6642be5f5b0be73c9845971b3ec5e7ad4e1,0x53b2d6642be5f5b0be73c9845971b3ec5e7ad4e1,TUSD,75300000000000000000000,5311464270196881235020264,Variable,1659275469,0,63624757746246605334132
15250566:180:0x1458d6d602e8db0d9c9aa636b2a94c1e46ef0d01cc4a82e45d2f5a99fc2a726a:443:443,0x7a16ff8270133f063aab6c9977183d9e72835428,0x7a16ff8270133f063aab6c9977183d9e72835428,USDC,300000000000,17418771567792774024826961,Variable,1659275084,0,24463749941579
15250550:105:0x2b8ff725dcfa2805c0719a39b67e3e4c862002be59362bd5cf305205992608d3:203:203,0x4d52f587b158be5050e1eefefd37d2b78cf238ab,0x4d52f587b158be5050e1eefefd37d2b78cf238ab,USDC,8000000000,17407619002245765812947868,Variable,1659274908,0,7206385322
