timestamp,totalBorrowBalanceUSD,totalValueLockedUSD,depositRate,borrowRate
1581551932,16892443.6314917645629247930560999,30890115.46184288847290069812099411,8.364280050679025,8.80240851839641
1581638347,17031752.48090118477877154691107505,30931974.27114361206513293903790289,8.260959854819326,8.693509627294428
1581724717,17129982.485246166616153869385398,31293249.72859702855385188997472121,8.232060016409418,8.663584534454949
1581811134,17048213.74833718889788072887025587,32281523.17431156420680865256373823,8.2843731907587735,8.720450453753094
1581897518,17352487.8406354094463795547644592,32306953.48875976816933048746866017,8.41173817302585,8.854175136799395
1581983960,17645939.94640749860733057491182212,32617373.61135997169275287329873101,8.2105520066791605,8.642482142925996
1582070385,22170724.93619487814986133632143299,33920882.86801782424517135407807089,8.2505672323293505,8.6826485046610205
1582156753,24340431.77458462331156032692646965,34587355.53793392450360514107255589,8.323376720343816,8.756666231909956
1582243045,24374410.07216193640257524668580162,34577324.95308282225566046721187432,8.230675201326574,8.6590611971481625
1582329244,24265829.63895509261388534241959815,34496271.30893851935533396098925777,8.681533814200456,9.109722061808434
1582415931,24301338.06949273040624184084186488,33756953.76997691877163499392248796,8.705360584502235,9.133359607063323
1582502011,24833857.35871576849763758723646067,34655805.97435810523069743741045211,8.9400962079301205,9.3804921598947175
1582588775,25233375.61133999077714105825718635,34905454.53913888088998362329249466,8.7359389638170775,9.16605628236516
1582674956,25101218.62111718128005531666060068,34925873.04335653549317822906981974,8.71522554941797,9.144592414572195
1582761547,24333037.43579831298460432377600541,32916753.48292287930337815850420639,8.781502738656816,9.210898301445846
1582847990,25706769.02478857335822063202730918,31283238.14010409404038616571448519,8.756598377744415,9.179310199531285
1582934350,25243631.74921193429724712250391031,32504991.28871342656623667428484632,8.846369507749356,9.276874822633302
1583020751,25537395.34774106125625882610894804,32688740.57851605813596763171225726,8.852076718343495,9.282823207437195
1583107120,25853493.50802438929256166891083485,31824744.46526326858477648347856305,8.69488777528114,9.115080638304255
1583193585,24742550.72087220104119264856250446,32779240.66723900591568202069813131,8.821424900706832,9.251462853951696
1583279759,24868832.68164704595345741291059932,33233935.20912976641809340638421363,8.7622253647482015,9.1902630870029595
1583366221,24672249.6460890845907175979718545,33435523.72730079503755395865798986,8.7639480167986635,9.19243867811101
1583452791,24895547.51758729053835841522238806,33774810.09965248968682369608830653,8.5559641921167015,8.9746999965575785
1583539108,25283276.58246140005505961207987723,34062083.0225771201737329453726341,8.8525132688059645,9.286010794433073
1583625498,25397243.84756801258274512606973426,34131696.21052233304574998840254779,8.87433922601436,9.3087444910912275
1583711958,24513282.46115653829215628163955794,33335856.73910324881362996660035054,8.7914261527139245,9.2205488387031855
1583798372,22312179.61363501050452066946998327,28000842.60212795458013585018130874,8.775497743330758,9.1933068705648225
1583884763,22116106.25808752112751911631209113,28920440.60645142090208594071339389,8.72406893009681,9.141809071205397
1583971142,22410112.08570902696860367255367815,26066880.89685666243131079779417626,8.8130980388611705,9.2255442520631125
1584057587,22731454.95379994246214592615304822,22768137.40887284005510523091657024,21.144828219490065,22.210011778735
1584143998,21120957.73902018979886291423495905,23036490.49106868222397240101332042,10.54271696079843,11.22199050293577
1584230267,20512566.34604433187629051610252885,21507206.51677614514544206925089293,11.209233953908347,12.1032637817065765
1584316799,17401055.37752284459008871193678283,19461109.41688938399053243371306158,4.557602973798462,4.761373863779736
1584403064,17950731.81070715345405055656170821,18589761.6935083934000281910109686,12.5180044981261165,13.6459307185790055
1584489433,17428205.30015623947373605856272412,18674467.77481341939405947199134765,8.336502845153224,9.4027710924308245
1584575911,17712367.86797925876795077969393213,19485533.15560668813845544296732891,5.232486294386523,6.0592680324276065
1584662346,18005023.26636960329063799301869965,19887062.96795057930338671876917954,4.661608396653936,5.419873422449733
1584748788,17939935.04877193422581279289984856,19891268.20988325661685458123906194,4.258590909286066,4.970315124351407
1584835145,17893321.3120571253391149405640455,21269476.94476982525133497928949386,3.729640594322376,4.666692952445682
1584921590,17407598.68551066901350708599883194,20788204.58724005783174974461430271,3.689719745332266,4.638183124590594
1585007948,15437103.35854936785989336581072697,20571479.82351233672911344884492701,3.3377949876553575,4.6820470650061495
1585094360,15810310.10538690112028398448116657,20770481.79568453344504710562381752,3.2919721598287865,4.552382348806485
1585180774,15789711.58321407554948205782259509,21047818.81796162414350976988296931,3.330053798496145,4.672620865252361
1585267127,16541637.30849084828651863495577746,28513607.54525386823542557913404991,2.55184655995833,4.63025197233292
1585353596,16826205.09310724599722450171640793,28590809.56922533877278379714810268,2.6475931736577675,4.7355226925538
1585439819,17043533.12440986721160855997035498,28851548.21735427728297141788282235,2.62722447028836,4.68147888863496
1585525689,17115842.64104065766179770083218214,28909262.527963851405543200771679,2.660375539435768,4.729966542974617
1585612534,16804261.5158602036918345215238894,28316850.56778324887698722139844088,2.617354538207199,4.642634205646164
1585699175,16603970.1533642343813318262912892,28969830.42506400024288872144622006,2.535833399007168,4.657266835754104
1585785327,16229156.13032821125664589014112369,29027179.80165512778985717853718174,2.518489890374759,4.741606518944001
1585871885,16791201.86090092612181183558842298,30123214.36995457795040724986672573,2.442012317717813,4.611516583616128
1585958384,15997702.21647430058463973832822331,29854806.74003460149433048484694756,2.424026347115412,4.761791619664578
1586044344,15676647.09002881452315941099746245,30119301.96222225384089174154198096,2.3187040940252275,4.689358594379373
1586131024,15618352.48202913843981922830314308,30556599.48749483753556080489624959,2.2739339814808995,4.6829988204753915
1586217551,15891050.54256974438132037360163294,29213120.22386379236225448727765499,0.18984817778883,0.36737378686371
1586303989,21419055.37507277270471590010923614,28686985.31278061751439115484377305,0.369167119317345,0.5204559825495075
1586390348,21778587.75618986738134723375221946,27603040.37203406159000240696551896,0.404903962456224,0.540201304005132
1586476449,22166785.57627327777725110835695061,27545480.03836669501811098831043762,0.4195940389827935,0.5488495716279385
1586563186,21823979.22991230968020412266505186,26175366.90084726292202666512258352,0.45124769695037,0.569705262946235
1586649032,21981094.28511905444563559820723856,25780688.72074429624735773807042534,0.467139804039765,0.576724598472375
1586735976,21792591.26091639578684437194521075,25625016.56687814116307949935078901,0.47712228843912,0.59055640085336
1586822209,21354745.10195459679583308217601401,25038385.51046089084482252587813655,0.475326771266889,0.586652060298636
1586908769,21575336.42200425022963578486205881,24840383.20934209547857744199983418,0.48431495149044,0.586955243324856
1586995164,21763749.52279181170024122893553921,24700992.10128489362086458895512646,0.50533651363427,0.60372304310199
1587081350,22075279.87451097259345426342212814,25162554.40391286369111199061382766,0.50178240984921,0.6020607792379545
1587167898,22647326.52011282758987734090567124,25281475.08386225402115983380621232,0.523491204964429,0.615136153855223
1587254357,23101831.10930038373252757889799673,24925324.70400515637581880780041255,3.703065111470403,4.205640664111509
1587340408,22234752.49151913958979178688007955,24158290.11581102515651333940484053,2.9719562878523765,3.399012057421721
1587426747,20987665.58660941769190348378811095,20990136.57781523779531243489744914,13.454752056787889,14.1645643764316005
1587513581,20854868.11031925113039565273903883,21971089.80398687958899595124722167,5.993883833533793,6.6470488121928155
1587599774,20550947.08041158941392663994332096,22109519.11571756799513651502711906,3.58366136286165,4.05836229975771
1587686314,19642195.96182040556762319798019094,21269529.80649997626816191693230968,2.81046233855832,3.20347998173592
1587772763,19491021.63267046554298114304239283,21256946.1325861036451265229803297,2.04117160769562,2.343269188140363
1587858780,19633870.57323499313843252671285885,21285201.78711772754343153838953165,2.6876847941032425,3.067090401925494
1587945377,19599867.13259126263455094518597873,21453534.30670365761838454835947633,1.617290613474146,1.8634175550722095
1588031960,19794178.73372116635696385390697895,21518129.98195792480401226425417804,2.400121316575545,2.746481183827631
1588118366,19914869.34165389808886144457197855,21674050.58735309440897546027569352,2.252485084302182,2.580482628771361
1588204261,19340180.74681828743500850419935153,21257985.16579534475582532293539041,1.1918979828240345,1.379040594722343
1588291130,19975351.09540039869962551388967925,21514898.34996265154757452109161877,3.375914721132984,3.827478318854871
1588377065,20421609.19114807339489114490459302,21815665.57015700734984363215089442,4.363504536372225,4.90670934794925
1588463803,14073273.43128120638691584758588162,22889768.47341332480028056832314867,0.908450447679128,1.5553348823704945
1588550316,13990993.88399860374908183724382908,22950737.88394994424898495449585294,0.889826004620975,1.536489422102867
1588636502,12257196.45992637520403772478630466,20495753.517279317278790162895942,0.859635882330033,1.513086207889542
1588722696,11607255.12982409838721508882790029,20328318.45775794710250630164660531,0.7837587246303675,1.444876436196081
1588809247,12302859.80886376525971791100604963,20442188.27434788684190918558062394,0.853074012395367,1.492053567415362
1588895758,11674976.13566711821672019474526956,19283446.89113917282356491877170228,0.868291270425728,1.5096299179154325
1588982287,11442257.91103543483814627355598173,18743838.36328064622311596620956493,0.8944786987084965,1.542386429031165
1589068274,11531346.20269104213704383350166159,18898319.52125874967171076841196748,0.859555380850398,1.482837070285761
1589155126,11239921.22111456275449933274355215,18322645.70856982243325426545897902,0.894297014053052,1.534557238811376
1589241299,11138049.33720009099464521963646429,18930378.42713237305146870549808906,0.819762470606898,1.4666098089365905
1589327710,11016879.0143479192683912402222104,17774385.88494081243025326616075852,0.8987551739991045,1.5263489166712735
1589414309,11127849.85338438316027877462903883,17787393.9860388622880658430552937,0.9329685530667,1.569800517184188
1589500747,11124436.88105852281897693557297075,17807438.09498435729309047966552687,0.920286074437693,1.550681666373707
1589587011,11391966.42666628712047939790434707,17966808.28884064016085785704487351,0.9346281223285285,1.551627530791056
1589673431,11434711.59934898473127592002893137,18060800.38592254403748590353453851,0.9386375880551565,1.560580276398434
1589759858,11711755.48700844047321731261176088,17914424.69809176217398470546504077,1.011637478917565,1.628854058963875
1589845985,12267898.99338425616180031192683545,17772139.74762206806825162991989056,1.120854564629549,1.709209065180516
1589932417,12181927.1351245363416702006021533,18909514.85868120882674331008891079,0.9776156140248735,1.597382467421887
1590019004,12082045.0883381624553467729735505,18819127.77593299957562378494581373,0.976197034121031,1.600563532222107
1590105562,11868914.35047999727466704827799759,18945295.64905979332741436945907971,0.9276842912144105,1.558715982661497
1590191622,9473175.607331369283732879356742489,19025030.39203508152108887086717015,0.575763638500512,1.217167647176448
1590277104,9341662.532428872590883813035671164,16319217.73698745099628485095157038,0.7877273303352705,1.4485299229742495
1590364707,9465688.884885965126138689071290991,16126130.68654463323403639865830282,0.8132397111461,1.45838745943506
1590451086,9494485.542686544425551934462999983,16159590.46127420886185548615459638,0.810508767696507,1.452088294550827
1590537188,9011295.818975090714491524027035452,16269914.25207304583335411577344439,0.7282264857928455,1.384015272374892
1590623835,9088484.750931405828728548712419714,15917326.5208491266975900615555275,0.781344681787046,1.4404483740416965
1590710210,9197149.820227942314367421671754609,16049436.75968445703274138287008451,0.7716161617437405,1.4173732920299895
1590796745,9328021.295831900448711955650931516,15964962.62339789641385509993793787,0.803029622933457,1.446726172431793
1590882950,9606043.79935844611678493273535689,16095735.82219913267704347538665928,0.835218870490732,1.473136416723825
1590969213,10752113.78502447337719346429015451,16030080.97419792865194175323415288,1.064720621252772,1.6709133339677955
1591055693,10462107.28214638955858414216984679,16101788.914995964622496633674357,0.996934945362023,1.615095377714345
1591142279,11645994.51750804660655382820593565,15607474.33989356280022188931026721,1.3395072971535,1.889633270372448
1591228498,11424750.45095050669673612645440606,25900599.56023005664137871304521021,0.461673677064132,1.101728547963576
1591315115,11022573.20944427507727089980139744,25816566.71392278628823674277808759,0.43334577271578,1.068381731125473
1591401425,10956014.21871433303361882429478589,25963940.28691372128454521249127271,0.423608033976792,1.056716764444932
1591487844,11151489.23076868951481059228562872,25757494.11911622814238272366622988,0.4463340240889675,1.085193364206521
1591574113,10943971.39168432272642906217917176,25718811.19902411640303437092797227,0.43402472815782,1.07366009003844
1591660787,10742734.02260225574743648852985165,15619188.34770010004923294777909901,1.108250910683536,1.696126073473476
1591747023,10667601.7591235036211364884064518,15818095.76306219276342077644219407,1.09849784780893,1.714600757398965
1591832570,10845836.72072134658344465080052904,16112048.58342389689705643641721049,1.0690467943259095,1.671709502538991
1591919836,11182813.82604407705968216739478076,16299737.69846213671901009449962273,1.1087608076397755,1.7011545919471235
1592006074,11219354.25107066495839652082923656,17086100.62213823186391253666683364,1.027824447373068,1.647670768047876
1592092531,13506464.79908148357788140108111713,17242689.53477137915900572037914811,1.460408181704016,1.9625194498838
1592178950,14234198.33927722597248596141774252,19190141.91688538303425714701695096,1.3149597549065875,1.8660962042653815
1592265587,11849300.33342788128363925897662773,17265671.07671488242277054560078995,1.13242887824496,1.73691308272336
1592351878,13375614.22686451062146854532743531,21063140.97378928759426974467130161,0.9499004819771135,1.574576997823835
1592438042,13709364.1033535046567587516545904,24491940.51253486887229290614409106,0.736441201397924,1.38490619389507
