timestamp,totalBorrowBalanceUSD,totalValueLockedUSD,totalDepositBalanceUSD
1561852589,11132504.2791437872481645955455155,52902614.74338055637202541907378644,52902614.74338055637202541907378644
1561938895,11041262.4065564755514076533159457,50259943.01025084949012445587859124,50259943.01025084949012445587859124
1562025553,11094309.25775735318043474240354783,50812142.80712862002595092903432434,50812142.80712862002595092903432434
1562111676,11313717.89353014088463501519779231,50758415.1947147907786741940478828,50758415.1947147907786741940478828
1562198030,12637362.47384133522916701632390302,56282265.41124613990566736124353592,56282265.41124613990566736124353592
1562284702,14325207.50064994096970382542760845,58543260.83696042516522816595128363,58543260.83696042516522816595128363
1562370861,14465381.95957312290220038187338241,61336569.51427353543599673355614136,61336569.51427353543599673355614136
1562456941,14858626.36642571582988942750320629,62521739.66125875075920045122818893,62521739.66125875075920045122818893
1562543979,14941725.12197394674797454106151772,65276858.88849668966946950075566737,65276858.88849668966946950075566737
1562630221,15237644.54149851849016805852639262,66613055.90089468171752607020644366,66613055.90089468171752607020644366
1562716771,15630813.29272179990617768346288818,66968524.17391214420571738495743361,66968524.17391214420571738495743361
1562803176,16165297.73437862022159401853417297,65090695.11352661012119486368933743,65090695.11352661012119486368933743
1562889512,16639799.31887356647886650838251787,63693142.85561556821754463881458562,63693142.85561556821754463881458562
1562975794,17680389.0543907591062566926413936,67591800.74602426899981945599675373,67591800.74602426899981945599675373
1563062039,17727605.62323388840335376856700139,67101859.38288105243646832306822208,67101859.38288105243646832306822208
