timestamp,date,totalBorrow,totalValueLocked,utilizationRate,liquidity
1636502377,10/11/2021,7792978058.731197352627726923791485,19964464394.83547184290562322450049,0.39034245570580556,12171486336.104275
1636588634,11/11/2021,7691566628.746318950738304853054627,19661416069.80735284222969716648213,0.39120105090282453,11969849441.061035
1636674635,12/11/2021,7674298353.937377617432738161794863,19791903297.47644148010969210722185,0.38774938612982646,12117604943.539062
1636761499,13/11/2021,7658979411.917446775859031687641678,19740210340.81988242605737200432594,0.38798874377137677,12081230928.902435
1636847557,14/11/2021,7606545347.118648629236695289814122,19726701378.68276731440290056571797,0.38559641579704235,12120156031.564117
1636934015,15/11/2021,7575688246.443482503283910471436513,19565907111.44006207956575837189695,0.38718819440852936,11990218864.996582
1637020470,16/11/2021,7614795331.911368963356740038715268,19568212887.15399220595626799051316,0.38914107158504385,11953417555.242622
1637106959,17/11/2021,7445632821.995700074488852076241599,18826190704.31926405456226313349752,0.39549332836023277,11380557882.323563
1637193303,18/11/2021,7334944962.10721113527089650403475,18647616561.53223481972890054630464,0.39334490485171764,11312671599.425022
1637279941,19/11/2021,7383973190.430634814805196605907258,18325927093.95691904569253654518445,0.40292494631093134,10941953903.526287
1637365901,20/11/2021,7383437046.888064904896966373940891,18988272851.78840598949635352894463,0.3888419502141638,11604835804.900341
1637452685,21/11/2021,7403191047.105410132910659751798546,19376481645.72043496311681782007775,0.3820709653313406,11973290598.615025
1637539134,22/11/2021,7413372546.688319466116313997467193,19191227378.12873173472547483342574,0.38628965206972454,11777854831.44041
1637624784,23/11/2021,7405466556.235486218437187095587683,18710656685.41758630632058314048917,0.3957887037715272,11305190129.182102
1637711971,24/11/2021,7342249744.550283207290160231719602,19047737039.44656540735703223672737,0.38546572379411714,11705487294.89628
1637798003,25/11/2021,7318016338.510247010617836842108491,18941194296.44398523702926331307836,0.38635453625456606,11623177957.933739
1637884647,26/11/2021,7360123671.431160697519692466384378,19513077714.62338547902735469374194,0.3771892768056459,12152954043.192226
1637970889,27/11/2021,7462288678.006826949865306263510589,18769511738.35717914942835981099573,0.39757500259087575,11307223060.35035
1638057519,28/11/2021,7468166451.21657778065335001547643,18957936579.61887720087508266350621,0.393933507470712,11489770128.4023
1638143808,29/11/2021,7745829530.600061745639708406587711,19571619971.48963583240752654820918,0.395768441339223,11825790440.889574
1638230251,30/11/2021,7750210387.742288938797052414969741,19494263055.68752032249445703123746,0.39756365068035426,11744052667.94523
1638315931,01/12/2021,7783411840.229330410437582684006972,19755982970.67874766860593119088243,0.39397745238904297,11972571130.449419
1638402207,02/12/2021,7774323318.787458842737445569625214,19643146797.83068514590790466127591,0.39577789642370464,11868823479.043226
1638488856,03/12/2021,7814659051.61973338296295821828173,19502904094.09957311060216506326835,0.40069207200706014,11688245042.479837
1638575796,04/12/2021,7779526196.12548652058758592698139,18904379250.62821887614855882548134,0.4115197908900903,11124853054.502733
1638662382,05/12/2021,7622205264.028613620242466383688398,18087279015.35765558783799059336945,0.4214124887196524,10465073751.32904
1638748545,06/12/2021,7612764479.021366562757185064468534,18265853653.00909395961033568905362,0.4167757293821988,10653089173.987728
1638834921,07/12/2021,7560737677.756409601561548702476804,18584042055.15098435230131088481777,0.4068403232902059,11023304377.394577
1638921429,08/12/2021,7550927595.602311671919764213557088,18546111453.46133406419621990548502,0.40714343891172144,10995183857.859022
1639007496,09/12/2021,7600605632.453758545190952236958374,18834613465.31071052289616184198121,0.4035445509116729,11234007832.856953
1639094369,10/12/2021,7545569138.52079397293520370326288,18015870926.69698769085540255955323,0.4188289963456233,10470301788.176193
1639180584,11/12/2021,7489436212.625003361327011438395844,17551919493.80898481248888660962301,0.42670183254126254,10062483281.183983
1639266020,12/12/2021,7414024335.420292811271227401659876,17773726193.71582380614647940977299,0.41713393435990004,10359701858.295532
1639353547,13/12/2021,7437873418.24349663963611512757182,18016398863.09203089919939940261266,0.4128390737108152,10578525444.848534
1639439891,14/12/2021,7276065123.042120548767714721368307,17211493391.07765643776687284795338,0.4227445554965029,9935428268.035534
1639526270,15/12/2021,7080728763.711405904281697117345772,17020669068.4769291535088103144411,0.4160076631079823,9939940304.765522
1639612291,16/12/2021,7049172918.94359349344757055303507,17360100546.60516650051609991740533,0.406055996047908,10310927627.661575
1639698782,17/12/2021,7011984529.357136756684625147371412,17099493399.07497753882324009619136,0.4100697234537054,10087508869.717842
1639783750,18/12/2021,6991249156.914054827125511737243802,16871112394.4408020764788983843051,0.41439171250010404,9879863237.526747
1639871907,19/12/2021,6984387723.515273035365698548866713,17046231126.97262069249521997217153,0.4097320792784351,10061843403.457348
1639958290,20/12/2021,6998045017.969340277942192808144771,16979445997.60889573113066599778037,0.41214801819534214,9981400979.639557
1640044692,21/12/2021,6899762171.047520863774323371781761,16853587000.15577919577872092806444,0.40939428330501665,9953824829.108257
1640130885,22/12/2021,6963859499.257250853929167074338149,17041767386.65231132940148294449106,0.4086348171089098,10077907887.395061
1640217371,23/12/2021,6987367502.496300188644512527761512,16860221420.80763841426937874465702,0.4144291660293979,9872853918.311338
1640303360,24/12/2021,7042996034.686584036423921210157666,17130807372.59012434895481824825797,0.4111304202717041,10087811337.90354
1640390299,25/12/2021,7001818349.872262908031608471333689,16949440657.73642921740928968438675,0.41310026043109227,9947622307.864166
1640476760,26/12/2021,6897953152.32014743431489423758798,16985514608.11207000292315512105389,0.4061079873921377,10087561455.791924
1640563108,27/12/2021,6729901994.789125295267823888599692,16870126865.51908829576863768954466,0.3989242077689644,10140224870.729963
1640649390,28/12/2021,6716246178.171139190304002429453757,16687397753.19265039539671649538169,0.4024741471081781,9971151575.021511
1640735478,29/12/2021,6675473625.034600083140655500841927,16201448135.87144539089168326048558,0.41202944138397785,9525974510.836845
1640822195,30/12/2021,6469992069.258912363498622469667703,15490330219.29882599371556360448188,0.41767941532958347,9020338150.039913
1640907803,31/12/2021,6297241368.857317720640589665617887,15281169451.31799029386745030938702,0.41209158689842196,8983928082.46067
1640995060,01/01/2022,6043601120.165077376938024373524942,14903511149.70918879942701392380629,0.4055152547245892,8859910029.544111
1641081581,02/01/2022,5979131601.077977690150462139223814,14788895031.5606581070380055215947,0.40429873823014123,8809763430.48268
1641167320,03/01/2022,6048863229.872698368808686614918461,14978381470.59326257740306298472407,0.4038395765088707,8929518240.720562
1641254266,04/01/2022,6048049273.106954374288232939885494,14853844365.89224021892176594867465,0.4071706370503405,8805795092.785286
1641340198,05/01/2022,6046911837.344642609965844957529006,14851244027.52182374586981137192582,0.4071653409060352,8804332190.177181
1641427147,06/01/2022,5967857054.533200453371675447967704,14447408771.40709548731422652386292,0.41307456229411893,8479551716.873895
1641513261,07/01/2022,5880299934.679960984507138834288078,14275676089.89499442255788178579977,0.4119104340593941,8395376155.215034
1641599911,08/01/2022,5877017524.385799676580325586865808,14048287042.48352979140423322253033,0.41834406619206077,8171269518.097731
1641686314,09/01/2022,5763423423.207635521824055795886825,13808244195.14821558311162847506028,0.41739002741802045,8044820771.94058
1641772708,10/01/2022,5757400743.880465702539946224583169,13820635143.72424272573090394938154,0.41658004020855877,8063234399.843778
1641858995,11/01/2022,5593019410.67845335432630023169301,13443825931.48482346694091683727145,0.4160288476794287,7850806520.80637
1641944808,12/01/2022,5531352699.531700105977768422318101,13584166104.39557555617311679858114,0.4071911854598024,8052813404.863876
1642031751,13/01/2022,5576063087.597727764190032102166661,13781627462.72181728982711868353946,0.40460120567621827,8205564375.124089
1642118044,14/01/2022,5627008975.696994133312442245438733,13602412116.01823228007434642997557,0.41367728956473937,7975403140.3212385
1642204069,15/01/2022,5654540303.460731892118956474836288,13713054787.31559613162470456991564,0.4123472407250287,8058514483.854864
1642290941,16/01/2022,5622396766.20077347830273488757631,13765762290.57838559379646510576787,0.40843337604695346,8143365524.377613
1642376549,17/01/2022,5593294487.817899723588995302666769,13698297358.88447140616516135072606,0.4083204168575147,8105002871.066572
1642463579,18/01/2022,5606586004.767987320590917878978639,13481052622.52490150425904075757273,0.41588636746363467,7874466617.756915
1642550121,19/01/2022,5588570687.218594187926909599715056,13434365782.70283509188849884162556,0.4159906598950919,7845795095.484241
1642636298,20/01/2022,5632502115.829188843468300890542323,13399720430.18279655534706951421711,0.42034474862191973,7767218314.353607
1642723168,21/01/2022,5541417283.928505483588498579477317,13106286754.90259660005560311972515,0.42280604625529483,7564869470.974092
1642809577,22/01/2022,4860199219.249496451629160204372342,11602172780.53294975626415188638402,0.41890422692241974,6741973561.283453
1642895888,23/01/2022,4530618147.540333801941667380052934,10992212705.61912721027621230569583,0.4121661642541105,6461594558.078794
1642982369,24/01/2022,4511016838.440100607222499880536501,11198048755.72502650048062355135291,0.4028395425706495,6687031917.284926
1643068619,25/01/2022,4206073933.988203368967630838673246,10672871056.33749846017676451702704,0.3940902041996148,6466797122.349295
1643154748,26/01/2022,4152315445.517051809520490866686375,10826743954.37523219252001740862881,0.383523935082906,6674428508.858181
1643241315,27/01/2022,4096256247.400441830714920381372784,10585361810.62280129104052638476736,0.3869736642624438,6489105563.222359
1643327980,28/01/2022,4163925488.215530570421914693411105,10525633324.7718120677273802548554,0.3955985696761673,6361707836.556282
1643414273,29/01/2022,4065629081.667852906931354300948471,10533968948.49397049142314611362745,0.38595415474896677,6468339866.826118
