Date,total_value_locked_(tvl) ($),gross_merchandise_value ($)
2020-05-14,394619679.53,108079512.86
2020-05-15,417249294.28,109287061.60
2020-05-16,411793135.12,109602652.15
2020-05-17,411135287.92,109994252.99
2020-05-18,415700756.31,112283865.88
2020-05-19,438632484.05,114145711.85
2020-05-20,439262330.89,116731854.72
2020-05-21,451850222.69,119084206.12
2020-05-22,438169756.95,122964517.95
2020-05-23,444247643.89,122607297.86
2020-05-24,448903232.20,120706139.42
2020-05-25,445970959.48,120492487.70
2020-05-26,436939771.97,120421269.19
2020-05-27,436030579.23,119937133.00
2020-05-28,446544131.59,120254255.05
2020-05-29,448668896.62,121682678.79
2020-05-30,474075958.55,123006296.30
2020-05-31,503552611.74,124352547.87
2020-06-01,515599920.13,127924608.25
2020-06-02,501521452.11,123244208.15
2020-06-03,538301007.98,124094107.83
2020-06-04,512482274.21,131740948.62
2020-06-05,516341395.55,131767965.36
2020-06-06,515252870.23,131845596.32
2020-06-07,518190155.32,132922319.65
2020-06-08,510644093.86,134751205.65
2020-06-09,517402687.99,121385049.84
2020-06-10,483692559.78,120697824.46
2020-06-11,482603397.27,123724704.35
2020-06-12,523449596.85,123583646.72
2020-06-13,506985771.50,123438642.47
2020-06-14,502074792.69,121184655.05
2020-06-15,484425913.37,115661535.06
2020-06-16,455622656.76,115822021.57
2020-06-17,477359476.75,117299355.91
2020-06-18,479198135.78,118250052.60
2020-06-19,481292090.64,121920527.50
2020-06-20,481167465.52,123721314.11
2020-06-21,458157974.64,126034970.41
2020-06-22,419540632.00,127247534.18
2020-06-23,444038516.15,127645788.31
2020-06-24,453142518.32,127443711.55
2020-06-25,446855695.26,129789634.17
2020-06-26,441345256.11,128390190.35
2020-06-27,436273869.08,128223198.54
2020-06-28,439121733.57,127731036.19
2020-06-29,424855482.39,127573953.72
2020-06-30,422698336.54,127425643.10
2020-07-01,428063486.20,133318958.85
2020-07-02,448661260.41,145029783.39
2020-07-03,457608172.47,157771428.30
2020-07-04,478151463.13,163210216.32
2020-07-05,492129578.39,173036636.22
2020-07-06,491621876.02,175462496.02
2020-07-07,515037565.03,181292105.53
2020-07-08,537423509.43,184459010.65
2020-07-09,551673850.21,184966079.03
2020-07-10,556754564.49,186940759.67
2020-07-11,543534363.80,192700443.91
2020-07-12,557055279.89,193606433.87
2020-07-13,546746426.37,192418500.29
2020-07-14,560747398.36,195092417.56
2020-07-15,547750731.32,196506682.15
2020-07-16,546115203.14,197443768.38
2020-07-17,535211632.25,200689578.86
2020-07-18,550290845.59,207323926.12
2020-07-19,558767303.69,207946781.65
2020-07-20,579250031.16,218502311.61
2020-07-21,583875555.67,218888565.07
2020-07-22,600926369.01,222956323.70
2020-07-23,615171349.46,234832488.79
2020-07-24,705815458.34,260747594.56
2020-07-25,759435474.47,265695119.27
2020-07-26,751066408.53,265309299.48
2020-07-27,829753111.86,277458644.63
2020-07-28,871620549.42,286995670.32
2020-07-29,862425179.23,319108996.77
2020-07-30,913959100.28,330148157.03
2020-07-31,918144848.48,347504438.53
2020-08-01,1026901743.18,362489436.03
2020-08-02,1049234332.79,361776892.13
2020-08-03,1061675824.63,368978959.60
2020-08-04,1139845494.33,378679234.30
2020-08-05,1123912148.55,380973937.14
2020-08-06,1162086977.92,379331082.30
2020-08-07,1125507000.39,374719108.53
2020-08-08,1133544032.67,377188527.78
2020-08-09,1124234268.54,376247882.54
2020-08-10,1126434499.80,400466713.14
