id,pool,user,repayer,reserve,amount,timestamp
15209521:31:0x4bbd9fca393341ab563790cb52359a54e9e2d8419811ebfe4762c8680674a83f:93:93,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x01d1f55d94a53a9517c07f793f35320faa0d2dcf,0x01d1f55d94a53a9517c07f793f35320faa0d2dcf,WETH,66055535754763400000,1658723139
15209467:167:0x8b0652af1e565b0ba96b45c40b09cca87a3692d3228084f874b043d88d427507:266:266,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x02381f433de35fb09b519575f019c753388f1cbe,0x02381f433de35fb09b519575f019c753388f1cbe,AMPL,52683112999,1658722388
15209465:190:0x75c2cb987ea4d066ace96dc969ba5601034e8f4c60e03a21dfff545bbc2c78ce:603:603,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x337121ab97ec52daf36845fa6444be7f9bf7fff5,0x337121ab97ec52daf36845fa6444be7f9bf7fff5,USDT,57532651620,1658722357
15209439:154:0xe169c6ad184dea4e99d8b22040023538ba2f45e7b8a0ddf6730e9e949edb89f6:210:210,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x01d1f55d94a53a9517c07f793f35320faa0d2dcf,0x01d1f55d94a53a9517c07f793f35320faa0d2dcf,WETH,66307006042153908935,1658722056
15209436:260:0xffd31ff2c5358b2cb3a28c3cbf82c971fe4fc9f32a166da9f40e9ca5b143ebd3:76:76,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xedace1e651ba0d2eb674cb6540d1c0efbbe4c59c,0xedace1e651ba0d2eb674cb6540d1c0efbbe4c59c,AMPL,16668759028,1658722031
15209431:81:0x8a3e6a7b61c18c1fe39fe7ea0d4ccaf77f63f8f46235b36e4bbca4e4d8975a5a:76:76,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xc37704a457b1ee87eb657cae584a34961e86acac,0xc37704a457b1ee87eb657cae584a34961e86acac,CVX,5500001884186719690367,1658721933
15209426:57:0x84f0ace0eec52b024e81eb74e71ff475bda9588e80f3b3536e83be537cd4c967:74:74,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x4bd84475f12fd1b89f1bc0fa30f717c42cb77b11,0x4bd84475f12fd1b89f1bc0fa30f717c42cb77b11,USDT,901460467417,1658721901
15209404:141:0x2b8abcd3f8b89716308f623a91c0289ffa02c9f5b8e05b3aa1308d18c5398819:178:178,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xee8e0fcc8bff03ec5f100d02cb7b3196d78863a7,0xee8e0fcc8bff03ec5f100d02cb7b3196d78863a7,SUSD,1000000000000000000000000,1658721624
15209386:264:0xd8d8aa1db4c1a51a896efbf664a66ea0aaf07759388b28ac6b11c35ab30c0d64:508:508,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xedace1e651ba0d2eb674cb6540d1c0efbbe4c59c,0xedace1e651ba0d2eb674cb6540d1c0efbbe4c59c,AMPL,28344308540,1658721350
15209385:77:0x3a26d1f6904056635e15f5d1989e6a57fda1124835d17e1e518bf27261ae3c26:122:122,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x84887512c5c34bf478d4b963d0aec18d7cd590b5,0x84887512c5c34bf478d4b963d0aec18d7cd590b5,USDC,57000000000,1658721285
