id,type,user,pool,timestamp
14949262:88:0x2491d9a39fbe555b7d2e85fb16153b5b3f9eb7089cdfabcabe4c8d2b4f817758:171:171,deposit,0x16dd675291002e82d260b7141b580370196fc723,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655023676
14949257:185:0xd266eb124ac8663b705ae432534781e56ab4df9ab7e10d32c1eaf332cf49dd5a:328:328,redeemUnderlying,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655023589
14949257:185:0xd266eb124ac8663b705ae432534781e56ab4df9ab7e10d32c1eaf332cf49dd5a:324:324,usageAsCollateral,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655023589
14949257:185:0xd266eb124ac8663b705ae432534781e56ab4df9ab7e10d32c1eaf332cf49dd5a:317:317,usageAsCollateral,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655023589
14949257:185:0xd266eb124ac8663b705ae432534781e56ab4df9ab7e10d32c1eaf332cf49dd5a:314:314,repay,0x8144faa64d0f20c008d359c464a62cf44594a27a,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655023589
14949246:193:0x3582a5b5fddbd9df7416f4716891c558259539ad561589da640da94c912f8ec9:411:411,deposit,0x381b58845271009b3d147ebb70d6d5585091840f,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655023455
14949092:313:0x07de8907c0e30bac8f0186737d2492bb07ef9a99026819ba8b617b1e910c26a4:542:542,redeemUnderlying,0xeef1b2fa1743e9215e1d8881d52b886618453c5e,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655021409
14949092:313:0x07de8907c0e30bac8f0186737d2492bb07ef9a99026819ba8b617b1e910c26a4:536:536,usageAsCollateral,0xeef1b2fa1743e9215e1d8881d52b886618453c5e,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655021409
14948983:80:0x6b2c6cf33326a354794604957dba0b75ed1c07aa71665e02babf511eabb81688:192:192,deposit,0x2f8d4e7b1d771932e1367ee46f4c7be11cd94ac3,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655019511
14948946:255:0xb3044c3c1a505e1e197590e9a3f8ce4510ed4e079dceb0d0e553ba253fd3fd23:533:533,redeemUnderlying,0x5356df73b293bd9c6e8efd22c99833391ef8821a,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655018856
14948946:255:0xb3044c3c1a505e1e197590e9a3f8ce4510ed4e079dceb0d0e553ba253fd3fd23:529:529,usageAsCollateral,0x5356df73b293bd9c6e8efd22c99833391ef8821a,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655018856
14948938:58:0xa998a37d3a63dbb87cbe7bece769735c17112dfd69cc293bd977d74c40a00a38:141:141,deposit,0xe1f5cdfffed40bcf6580e2a238dcb9fda845613f,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655018767
14948915:139:0xbe2465c01556af6cc1f902197d17a3dd046cf598dea597efffdbf4f7a1f4729d:249:249,deposit,0x13c9d9b81513fe8ef119408f916b74118478cb03,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655018378
14948885:53:0xe41650a29188ad2224396aa4d4aaeecdf036f3545ff259f987ea4b70d3dbed89:97:97,usageAsCollateral,0xd173381c130de51f272e5eb8739ee50e076181f3,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655017968
14948885:53:0xe41650a29188ad2224396aa4d4aaeecdf036f3545ff259f987ea4b70d3dbed89:96:96,deposit,0xd173381c130de51f272e5eb8739ee50e076181f3,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655017968
14948834:199:0xbee148a6f440a90d254535a112b826cd80f0c96a3842497cd4166a783fa9cdb2:416:416,deposit,0x3d9ee4be3c5982b8c30a56447128f78e2c56a68b,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655017250
14948834:199:0xbee148a6f440a90d254535a112b826cd80f0c96a3842497cd4166a783fa9cdb2:415:415,usageAsCollateral,0x3d9ee4be3c5982b8c30a56447128f78e2c56a68b,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655017250
14948778:33:0xc5e9bd7199618de7367cf6587565f663457c4681522eb057c38abe04ff1910a5:77:77,redeemUnderlying,0x09558bfc6cfc58138a9e2e613c510ca3ffee5212,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655016205
14948778:33:0xc5e9bd7199618de7367cf6587565f663457c4681522eb057c38abe04ff1910a5:73:73,usageAsCollateral,0x09558bfc6cfc58138a9e2e613c510ca3ffee5212,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655016205
14948711:77:0x27e2765cd6432623023cf723b66ae5fe96bca47bb992b96cc649bbb0f3ba7a57:139:139,redeemUnderlying,0x45a38f2d0f0fb090360514f9f2de16769fbda3e8,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655015103
14948711:77:0x27e2765cd6432623023cf723b66ae5fe96bca47bb992b96cc649bbb0f3ba7a57:133:133,usageAsCollateral,0x45a38f2d0f0fb090360514f9f2de16769fbda3e8,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655015103
14948695:147:0x49cebef8e5584ba987b02c5e0d3cab8a03c0d9428e516eba8aa43439356f25e2:200:200,deposit,0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655014957
14948664:57:0xcbb262a70847a62800842854a776d38e4c2ef26026796dfc61aa046a6012ee60:63:63,usageAsCollateral,0xc37bdf602e33334a601529f28f6829a0f5ed5e24,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655014465
14948664:57:0xcbb262a70847a62800842854a776d38e4c2ef26026796dfc61aa046a6012ee60:62:62,deposit,0xc37bdf602e33334a601529f28f6829a0f5ed5e24,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655014465
14948664:57:0xcbb262a70847a62800842854a776d38e4c2ef26026796dfc61aa046a6012ee60:61:61,usageAsCollateral,0xc37bdf602e33334a601529f28f6829a0f5ed5e24,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655014465
14948644:72:0x7b3a5039406ffc3fc2ea4f6b803c424782c06f1b6eabaebc37fd02e4fb7f0ee3:145:145,deposit,0xa144848fc6fc4b7da8d158176e58b969b19f70c0,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655014182
14948620:6:0x33575ff88c42a969ef2f2c2ee433a66431c46c9ae67a8d00baadd1c7c9b3405f:42:42,redeemUnderlying,0x09558bfc6cfc58138a9e2e613c510ca3ffee5212,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655013866
14948603:52:0x793ef41f3274629d9fcbfa13c6b3110a9933d023a06f47f832d301502666b509:193:193,deposit,0x357cb5c9f4bbba9aa3bd6cc5879f53b845ce4d3f,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655013659
