id,reserve,target,amount,totalFee,initiator,timestamp
15242134:13:0x66eafe6b2f8608baf0221c736fb49db517ad3a96c2c2d706f23a58219203d945:34:34,YFI,0x6584976de4ae7fa1889e0ed9cc23ea8893230d3f,74362413500000000,66926172150000,0x6584976de4ae7fa1889e0ed9cc23ea8893230d3f,1659161668
15241965:13:0x68c364aec6e2b9737f6d2f124606fa5797dfbf78313c1908e161dab40cf65008:89:89,USDC,0x689209519e78947d52b862748e059fad1238d689,217108154,195397,0x689209519e78947d52b862748e059fad1238d689,1659159047
15241919:233:0xafd17bf9f046cc107fc70eea258bc48e40f5363e412435ba8142ae4227adbbc9:454:454,CVX,0x135896de8421be2ec868e0b811006171d9df802a,7106556643419934000000,6395900979077940600,0xe903d2f4f433e81b7c914be50fd98b8f43fcd289,1659158454
15240946:183:0xa1b3ec7bc0a92f37e5188aee281a99517c7826d559429abc9569742619f21df2:185:185,USDT,0x7c0d3cf3982142eda2b992e9f912ac4dea662258,1103586510,993227,0x6e9b5a61674b55b284f0d97c08be842cab80137d,1659145359
15240435:140:0xf268563c8afb58f4411f731b5226b77dd938c86e99f2eceb3bfecdc35f7ec956:320:320,WETH,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,40341180732589790000,36307062659330811,0xb847748c6119d1d91a6613d549d041242cbd1c24,1659138695
15240390:109:0x9bcd1b33d4b27a083d6e839941cac43d067f660a15151f66bddcbd705ed4c545:233:233,WETH,0x135896de8421be2ec868e0b811006171d9df802a,40000000000000000000,36000000000000000,0xb847748c6119d1d91a6613d549d041242cbd1c24,1659138136
15240209:2:0x349d2db51f090dea6e91a49ddf5e728e9edae53a7f98b43e5c5c5af7986e4b8f:34:34,WETH,0x689209519e78947d52b862748e059fad1238d689,3327422000000000000,2994679800000000,0x689209519e78947d52b862748e059fad1238d689,1659135771
15240148:151:0x6b07434d7fb5da048abefe146b3a175f4107ca4c72bc9488c953022c159d3aff:380:380,USDC,0x135896de8421be2ec868e0b811006171d9df802a,5000000000,4500000,0x910616025b6f977e8ce73573ce16ca7684a89eda,1659134788
15239947:88:0x95ed8e41ea920c29dff08ab7adde3ea60bf78c6cb47ce42e07aaed864d4c0de5:230:230,TUSD,0xbcc4371cc40592794bf5b727c17cf7de37ac180a,3903874980056529300,3513487482050876,0x71b92005be942aef9c4ac49a72d1633066a9377f,1659131937
15239781:210:0x484c19e0dace0527fdf3e8ce715677498ec3e35efd51f68d4707aaac4743c026:404:404,WBTC,0x135896de8421be2ec868e0b811006171d9df802a,81317418,73185,0xfa8711f7aa2d1cc462be56eeb2573282ce7426a1,1659129778
15239534:33:0x4ad2f34f5d6cbc0a03ca15ada69d68204c43ad6b15acdeb5248af533e6c373d1:74:74,USDT,0x7c0d3cf3982142eda2b992e9f912ac4dea662258,1800586712,1620528,0xa95d1e735100b66215b794be80f12c4775e08a3c,1659126381
15239363:85:0x282f57823e50849d03a5af7807845736158aa173698a07ff4883211ffb02ead9:81:81,USDC,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,17006112674,15305501,0x3487df73df5f5338bb358f179ea4029781735b0f,1659124042
