block,HHI,depositers
11453526,729.5442386528894,179
11453617,730.6809829870866,179
11453643,730.5627742527674,179
11453714,730.5022692387661,180
11453802,728.0427192310573,181
11453839,728.040476652416,181
11453865,726.8126901295756,182
11454028,720.8008006013738,183
11454058,717.8204571085731,183
11454205,711.9574843974126,184
11454454,700.8035589221149,185
11454548,711.9574843974126,184
11454676,709.1074028009516,185
11454741,706.976971700144,186
11454820,706.991440253737,185
11454962,706.9243925252752,186
11455406,706.3149267354886,186
11455429,706.3504871150634,185
11455558,706.1960041224164,185
11455706,706.54755120403,185
11455784,706.7827675974261,185
11455809,704.452117682969,185
11456930,704.4506149046996,186
11457064,698.953500939748,187
11457552,692.2405909673147,188
11458058,692.5333822786013,187
11458707,711.8292885924002,188
11458753,692.5333822786013,187
11459136,650.9344334716776,188
11459402,611.1756638431273,189
11459489,610.9162764364427,189
11459621,607.6500613312683,189
11460061,619.3703980715853,188
11460905,616.6183489579321,188
11461000,616.5834100183764,189
11461042,616.5644635890574,190
11461486,616.6344337986283,190
11461494,616.597429401098,191
11461501,616.6250677962369,191
11462160,620.1463876071593,191
11462950,624.7189274409691,189
11463659,622.8674369477027,190
11463677,622.7270271624794,190
11463955,664.031405078583,189
11464243,659.9966569982583,189
11464562,659.5086266921263,189
11464971,658.8562714081074,190
11465097,658.2291499093745,191
11465120,658.8562714081074,190
11465148,658.4156297651765,190
11465340,658.3937491389894,190
11465451,656.3267373064065,191
11465623,622.8388602546887,192
11465798,699.6894838818149,192
11465805,697.8080723378264,192
11465837,691.8301205058011,193
11465934,719.5481620941828,193
11465992,724.7630108378337,193
11466020,754.3858057902501,193
11466023,753.7512138331813,193
11466113,753.4525529344662,194
11466593,752.0749835203411,194
11466851,750.1459893560301,195
11467078,749.1937685053026,195
11467106,749.3861478887892,195
11467376,748.4992670981578,195
11467443,748.1123665428314,195
11467543,746.578178071,196
11467560,746.0633001773541,196
11467562,745.9189585547451,197
11467676,745.7728619964355,198
11467739,743.8763429429082,198
11467808,745.7818665203897,197
11467877,738.579444273755,198
11468189,738.3344161198951,198
11468546,738.1200632448428,199
11468825,736.4201011167582,199
11468877,734.2468558691133,199
11469034,734.4595022519374,198
11469328,706.658866086968,199
11469589,707.9654928213761,198
11469635,707.0832200066674,199
11469651,706.477942536603,199
11469690,699.6978422954228,199
11469771,698.0595147971328,200
11469905,698.9456097336883,199
11470007,698.7578207494795,199
11470049,698.735041170586,199
11470205,698.3756735074322,199
11470260,698.2036344901572,200
11470273,698.9876699667286,200
11470345,698.8579931997032,200
11470346,746.804267810461,200
11470350,750.8779525148175,200
11470379,752.8122478548106,200
11470408,753.5241990376961,200
11470456,753.4016599803008,200
11470533,753.3087468672471,200
11470620,753.2391646144415,200
11470863,753.113081615222,200
11470881,752.4017341555572,200
11470932,752.4916997704049,200
11471106,759.0538433587787,199
11471396,753.3530102033777,199
11471482,753.1798042899246,199
11471503,752.343507916965,199
11471537,752.0592938963712,199
11471698,751.4832790564541,200
11472074,756.4258170704323,200
11472097,750.3003811082064,201
11472309,740.8880047884714,202
11472502,739.0507384624048,202
11472545,741.4884433160132,202
11472631,740.5441518406968,203
11472638,740.504822808275,203
11472716,740.3386075267358,204
11472753,739.3086774057007,205
11472797,738.7193740904489,205
11472918,739.721406382854,205
11472951,739.3238746219836,205
11473067,738.9767066912679,206
11473220,734.1484415534155,207
11473294,741.9139956094979,206
11473389,741.5737168571179,206
11473569,738.5638299424634,207
11473650,741.4878031170459,207
11473664,741.9112557180046,206
11473731,756.046021975583,206
11473804,753.9275845542159,206
11473811,753.7496027468305,207
11473814,772.4604426764162,207
11474018,772.0781806353609,208
11474137,764.4184446966767,208
11474194,764.5274249358994,207
11474252,777.6920201053147,207
11474633,756.555969218611,207
11474768,804.1499559757657,206
11475315,804.1066075429347,207
11475347,804.0484148214913,207
11475603,802.4748075673793,207
11475605,801.4250735309564,207
11475694,802.4732738721963,207
11475721,800.9227734553382,207
11475723,801.1715227123042,207
11475755,804.7817829756189,207
11475845,808.8695383482753,206
11475992,811.4045424242678,205
11476160,811.1906877499266,205
11476541,811.4073888318007,204
11476647,810.514028601568,204
11476678,807.9774742262396,205
11476688,808.8847444481418,204
11476713,808.6347646570838,204
11476844,806.1231643999708,205
11476933,811.4455732341585,205
11476984,810.5841194169333,206
11477866,793.2352628873559,207
11477880,792.7227385495088,207
11478271,792.1379802620108,208
11478300,786.454004244633,208
11478342,786.1777874274464,209
11478615,784.3818860006776,210
11478659,783.9343531325496,211
11478691,783.5537203397523,212
11478802,783.6330814818972,211
11478932,782.4905035880718,211
11478965,789.867757674159,211
11479199,774.925265069109,211
11479281,773.8733265891899,212
11479290,768.0287449900005,212
11479412,767.2536822837785,213
11479562,765.389603480169,214
11479564,761.8166106987678,214
11479578,761.429465105567,214
11479599,760.2926279242254,214
11479616,759.8421037071389,214
11479691,759.5600847145363,214
11479762,750.5657404883765,214
11479883,750.3842517820317,214
11479950,750.2206291131395,214
11480001,750.0741940269497,214
11480142,749.9735190684808,214
11480433,750.1455688271375,213
11480583,750.0794320580687,213
11480616,753.2060595475407,212
11481081,753.1946511813136,213
11481381,749.3159271674342,214
11481655,748.3401426270129,214
11482197,746.1083651719355,215
11482278,736.1706345812428,216
11482333,746.1083651719355,215
11482395,737.5504653421824,216
11482590,722.1836480813563,217
11482663,719.9688706621846,218
11482675,717.8680154698628,219
11482746,716.9690457602354,219
11482887,716.3347716043468,220
11483074,717.0268389242044,220
11483082,716.9149551111245,220
11483156,711.0682968423886,220
11483183,710.6930750848298,220
11483246,702.7695494123578,221
11483247,694.2010488444186,221
11483353,694.0974089954009,221
11483421,694.2562272895018,221
11483809,690.4949407918967,221
11483903,668.6544090693005,222
11483927,667.4617390478,222
11483975,660.9096890470818,222
11484055,660.8675242663653,223
11484094,660.7469090315843,224
11484168,653.9567222964093,225
11484181,653.8786090607393,225
11484529,650.3161660141712,225
11484599,649.8491896654257,225
11484775,648.4586060610518,225
11484857,648.0894495834577,225
11484969,646.9926444274342,225
11485029,645.3532352145512,226
11485058,637.3941994086769,226
11485085,633.050512589154,226
11485197,631.6222179972775,227
11485241,631.5899676678125,227
11485286,631.5086907929814,227
11485409,631.452662055376,227
11485443,629.797646169334,227
11485499,629.7588592916808,227
11485501,622.9079831279917,227
11485645,622.8813769585847,227
11485732,622.8631070998468,227
11486011,622.8506691590572,227
11486127,628.7940069251098,227
11486143,628.585436696988,228
11486293,628.417628661408,228
11486388,628.4000799241629,228
11486522,628.4173327680596,228
11486563,609.0081873121449,228
11486583,602.4070661931504,229
11486732,602.2767344593881,230
11487061,602.6640088514375,230
11487063,602.9513766026015,229
11487098,602.8857210073343,230
11487118,602.8658927493798,230
11487142,602.9435479935389,230
11487143,603.0213094950143,230
11487209,641.2759302277728,229
11487220,640.3524339096249,230
11487373,640.3577559333913,230
11487388,643.7555844419604,229
11487651,641.949739180526,229
11488144,637.802607396877,230
11488152,635.0741853243865,231
11488740,634.876882001144,232
11488814,626.223028090495,232
11488930,626.1325816139645,232
11489058,625.2948523663654,233
11489374,624.8199606356624,233
11490505,624.8035865919314,234
11490518,620.5675032204279,234
11490768,620.5608864875908,234
11490770,620.5095441760783,235
11490860,622.219781885271,235
11491148,621.2874204251378,236
11491219,621.080045685601,236
11491307,619.3750546595502,237
11491350,617.5527092720582,238
11491390,617.3419105966422,238
11491466,617.1338871370863,238
11491482,614.8869711307683,238
11491587,614.559445028831,238
11491766,614.6029629505989,237
11491934,619.2722689212803,237
11491979,617.6089803407469,238
11492037,617.5633593967652,238
11492054,612.2813553227941,238
11492101,611.895486948407,238
11492151,612.1988730117519,237
11492258,611.5652514830674,237
11492307,609.4698380432445,237
11492346,609.4321240222523,237
11492730,606.2177086869232,238
11492750,606.5422957737637,238
11492850,606.4537069946753,238
11493003,605.33758602727,238
11493143,604.5864520699896,238
11493177,602.2284071830314,238
11493279,600.630849697289,239
11494253,599.1370233671912,239
11494380,598.999913131277,239
11494475,624.7882371389329,238
11494483,624.4483236048294,238
11494655,631.2243291595196,238
11494709,631.4307601574604,238
11495167,631.3899836194896,239
11495184,630.4204425278368,240
11495545,629.4105347139933,241
11495602,631.9525666580896,241
