block,HHI,depositers
11383257,1144.8457324294618,75
11383368,1149.760145656714,75
11383559,1149.949203204408,74
11383579,1145.637569540955,75
11383651,1144.589369068869,76
11383692,1140.3160802226657,76
11383729,1131.6851933820267,77
11383791,1131.4670668286376,78
11383800,1140.0954388482546,77
11383852,1139.6545370612644,78
11383882,1131.0312197377984,79
11383903,1139.6545370612644,78
11383905,1139.43408926379,79
11384007,1148.2560881046584,79
11384046,5901.968889908952,80
11384067,5901.571021953793,81
11384144,5901.836267167482,80
11384307,5901.756691223898,81
11384407,5797.863214894255,82
11384433,5716.595656292034,83
11384454,5797.863214894255,82
11384578,5797.708263161068,83
11384592,5797.863214894255,82
11384608,5797.811563230113,83
11384675,5797.295102405464,84
11384809,5792.136071530991,85
11384821,5786.983925912822,86
11384860,5666.529860020643,86
11384875,5671.521397169586,85
11384900,5671.521396669906,86
11385092,4852.553840204963,87
11385098,4848.630372616625,88
11385139,4609.932322270852,89
11385288,4416.288911116182,89
11385398,4575.9634717824965,89
11385412,4616.810691305449,89
11385447,4616.62858314151,90
11385487,4616.810691305449,89
11385549,4614.99044442969,90
11385647,4705.001508110923,90
11385665,4704.814050574575,91
11385732,4701.068758218725,92
11385750,4700.319982819159,93
11385804,4613.273398604905,93
11385833,4344.8281436479665,93
11385849,4170.643248168207,93
11385909,4167.745432576317,93
11385952,4036.080444016287,93
11385966,4014.282901667624,93
11385969,4009.8894829002934,94
11386032,4009.7430632285877,95
11386067,4037.215127467535,95
11386192,4031.3084950955968,96
11386226,4031.352786507583,95
11386258,3979.152186996869,96
11386319,3944.8326673527517,96
11386591,3944.546913654067,97
11386660,3944.8326673527517,96
11386682,3910.9220633327477,96
11386776,3911.2758476186955,96
11386868,3727.079338388156,97
11386971,3727.0767160967785,98
11387006,3698.546677650846,99
11387014,3698.8577445405904,98
11387137,3699.1169993849876,97
11387154,3464.322807946126,98
11387223,3214.3214107152553,99
11387252,3214.2377456385902,100
11387330,3216.2770625301373,99
11387368,3216.0677213770623,100
11387373,3211.4722689807736,101
11387415,3193.6160328340343,101
11387440,3400.0376796483856,100
11387497,3404.5958324563853,99
11387519,3404.5935488403475,100
11387599,3397.2452787365887,100
11387653,3394.85796559468,102
11387959,3394.3351062173674,103
11387998,3377.495837421614,103
11388219,3374.8016145784095,103
11388314,3374.5762721068154,104
11388316,3375.0269617160448,103
11388344,3373.9005851763213,104
11388364,3362.6927646336794,105
11388410,3361.572561710647,106
11388484,3361.1693617508363,107
11388527,3350.024965488548,108
11388573,3315.070863490187,108
11388597,3315.2851766461813,108
11388619,3031.825488681821,109
11388720,3025.3559153953383,110
11388777,3307.860105135289,110
11388780,3305.678399625321,111
11388800,3301.3236361078507,112
11388847,3299.1483959175803,113
11388991,3286.1744796565717,114
11389125,3266.8859707555207,115
11389131,3279.7454294377403,114
11389184,3279.314302887051,115
11389310,3279.0987606900962,116
11389333,3138.328118081123,117
11389374,3132.2997147356696,117
11389393,3128.337763737487,117
11389425,3116.4788764079476,117
11389468,3045.363640327786,117
11389491,2964.4092589466304,117
11389497,2952.567288327335,118
11389498,2953.5890062117765,118
11389511,2936.5684983128212,118
11389514,2934.7517676436364,119
11389517,2980.799526534383,119
11389564,2979.8696718635038,119
11389619,2979.5721261397393,120
11389626,2979.9440574704167,119
11389641,2970.6899274920593,120
11389714,2926.2240781668265,120
11389796,2924.416909531089,121
11389828,3020.4829856644637,121
11389888,2876.9256001620515,121
11389916,2234.875485739294,122
11390046,2229.7479497253717,123
11390205,2266.028866475126,123
11390208,2174.9938495457077,123
11390393,2151.1431333354585,124
11390485,2150.2222447883382,125
11390565,2142.9019847762647,126
11390581,2142.7187456650618,127
11390636,2058.3343895339194,128
11390651,1979.8095336633578,128
11390720,1913.1536187095235,128
11390738,1912.001679667761,129
11390739,1911.924864246555,130
11390766,1911.7328610777465,131
11390789,1910.5840201849117,131
11390821,1910.6607547562364,130
11390857,1909.932288486584,131
11391080,1909.7022544836918,132
11391165,1909.7789359401058,131
11391182,1909.2807331686001,132
11391219,1909.7789359401058,131
11391366,1899.1663122133098,132
11391641,1892.0234841258762,132
11391723,1888.25858009856,133
11391785,1884.504922224424,134
11391862,1882.0134793818063,135
11391925,1880.1114679431196,135
11391931,1811.2082314563447,136
11391971,1880.1114679431196,135
11391990,1880.1039783180777,136
11391993,1879.6651289678514,136
11392144,1879.477992373425,137
11392299,1879.410624330616,138
11392356,1822.3190581664246,138
11392469,1815.763825975487,138
11392489,1786.7369339012341,138
11392500,1781.6656215802616,138
11392513,1772.255886515697,138
11392519,1763.6759723464575,138
11392559,1759.7400235377552,138
11392580,1752.4951635584819,138
11392586,1752.4886520947193,140
11392589,1746.0296580985835,141
11392914,1718.5375936657324,142
11392955,1718.6956312058794,141
11392998,1718.7525349296384,140
11393008,1718.4365082477568,141
11393122,2000.1815384700644,141
11393154,2001.526440721082,140
11393223,2001.378324270579,141
11393630,2001.2436860891971,142
11393662,1995.991806857417,143
11393711,1990.8232349809764,143
11393867,1990.6896628214072,144
11393888,1990.8232349817154,143
11393924,1978.442310560369,143
11393944,1978.5084725422898,143
11393952,1975.2438577874375,144
11393956,1970.6516577931334,145
11393966,1966.3947794807266,146
11394068,1966.3727418967298,146
11394125,1966.307182660606,147
11394151,1966.3727418967298,146
11394175,1965.0632353223564,147
11394251,1964.09383180322,147
11394266,1964.0492314059354,148
11394320,1964.03828767181,148
11394337,1956.8923597693374,149
11394454,1953.6488531155044,150
11394456,1953.0006651696258,151
11394468,1952.0686722270748,151
11394526,1946.9087157760985,152
11394567,1947.8866325501021,152
11394604,1947.8058392630214,153
11394728,1948.199681984663,153
11394999,1884.4192106536323,154
11395057,1884.4130648990865,155
11395069,1884.3785757045036,156
11395083,1884.4130648990865,155
11395097,1872.2870780731241,156
11395110,1872.2262185104312,157
11395139,1861.4893384941927,158
11395144,1861.1694497163628,160
11395253,1849.2680083029381,161
11395300,1845.6046364122105,161
11395446,1845.4855393456878,162
11395469,1845.6790885152102,161
11395470,1842.7277502557702,161
11395489,1809.0498827390318,162
11395598,1808.9920989007999,163
11395652,1809.3387669912988,162
11395655,1807.8613399967635,163
11395669,1809.3387669912988,162
