block,HHI,depositers
11387456,4156.510596750623,47
11387611,4156.029616546349,48
11387629,4160.1294062130855,47
11387674,4186.76740768106,46
11388310,4064.259048879818,47
11388330,3951.648713144379,47
11388368,3843.427814261513,47
11388475,3842.7918025002527,48
11388651,3183.9027173354475,49
11388719,3842.7918025002527,48
11389454,3706.9816195837516,49
11389524,3842.7918025002527,48
11389528,3837.9534503981217,49
11389648,3657.427941371496,50
11389651,3633.129077142479,51
11389716,3579.0890045337665,51
11389828,3273.7701529588953,51
11389910,3811.8124115470955,50
11389916,3255.8241533633945,51
11389945,3254.0425943710466,52
11390002,3253.0575007667776,53
11390349,3252.052977022457,54
11390447,3250.8334343324927,55
11390519,3249.9154987267584,56
11390538,3241.9961722091953,57
11390592,3249.9154987267584,56
11390715,3249.826078930043,57
11390753,3206.040111696953,58
11390849,3101.6292095692756,59
11391048,3056.397517833377,60
11391063,3060.6876534576504,60
11391104,3059.780523489637,61
11391129,2551.1912878268795,62
11391263,2243.235298420123,63
11391322,2551.1912878268795,62
11391346,2550.0741343753016,63
11391692,2550.0067147919845,64
11391740,2550.9420907293593,63
11391835,2591.4504487403883,62
11391918,2571.5037354437363,63
11392183,2557.9719943149603,64
11392189,2519.724608016545,64
11392523,2517.362434081127,65
11392538,2516.8331368227523,66
11392565,2502.461044988661,66
11392614,2488.544607985746,66
11392645,2483.898090173463,67
11392676,2477.4471824373427,68
11392685,2483.898090173463,67
11392721,2291.910596157793,68
11392805,2164.5254000575646,69
11392931,2339.5038027997157,68
11393061,2336.5550981872116,69
11393102,2280.167442716055,69
11393201,2273.6908917562505,70
11393328,2273.125046477521,71
11393366,2250.7590899467446,72
11393426,2247.466035360746,73
11393538,2247.286710089074,74
11393555,2247.0235972915075,75
11393566,1987.4592950234346,75
11393658,1987.4540517201845,76
11393692,1969.4589752878483,78
11393823,1941.5939296611443,78
11393953,1923.6403169030807,79
11393967,1900.33045501171,80
11393971,1644.0893083692304,81
11394236,1643.1332805764764,82
11394387,1635.5622628202557,83
11394432,1635.35454614841,84
11394468,1635.3241586198776,85
11394491,1635.1532671786827,87
11394515,1656.9002191302552,87
11394666,1656.8614670029458,88
11394720,1681.87414592895,88
11394829,1440.7608366752272,89
11394836,1440.594308273226,90
11394892,1484.8320563312077,90
11395169,1468.6208552217831,90
