date,totalBorrow,totalValueLocked,utilizationRate,liquidity
25/03/2020,78165973.178322484596460649,254814859.8331941997635263708350614,0.3067559451968035,176648886.6548717
26/03/2020,78698582.522669262320941373,251225761.486159568111626096908843,0.3132584097152986,172527178.9634903
27/03/2020,79248443.915951775262928175,261373172.1207986830670630908496557,0.3032003754361047,182124728.20484692
28/03/2020,79720007.970603370210167898,261182942.3063653461489402215280614,0.3052267015090614,181462934.33576196
29/03/2020,80310747.700906727650050138,254305202.6713221999525743087286982,0.3158045799192897,173994454.97041547
30/03/2020,79960394.367235948885773191,245233286.4165905349197850592129745,0.326058487147634,165272892.0493546
31/03/2020,80560780.115838003690031982,263578463.1671963536261257419361347,0.3056424988134774,183017683.05135834
01/04/2020,81824975.951291904865312552,267369082.9843991795072643072052133,0.3060375382147918,185544107.03310728
02/04/2020,81493542.792688136180803037,260464234.2814159739724233003193388,0.31287805413099157,178970691.48872784
03/04/2020,84456726.165750821389770881,280485007.5296425132020409781404494,0.30110959195145276,196028281.36389172
04/04/2020,84586377.782393855163355098,277952641.6251828554386573105495191,0.30431938796414815,193366263.842789
05/04/2020,85396155.961585298234810508,282400999.7673842100143518236817171,0.302393249428744,197004843.80579895
06/04/2020,84721533.894301034582685145,279683659.6088251642287994314617423,0.3029191409065349,194962125.7145241
07/04/2020,85094606.657596174371362766,310505689.650125287747696641208398,0.2740516824457546,225411082.9925291
08/04/2020,78804207.052418070398484809,297530680.6382770036506342135634319,0.2648607763184742,218726473.58585894
09/04/2020,78140679.953668869497299339,297741402.5544809174351889672350907,0.26244479028868223,219600722.60081205
10/04/2020,78741181.473111378915613128,295128084.2548105301695822061354378,0.2668034174786533,216386902.78169912
11/04/2020,78720038.551123903540533908,281957619.6692438873475666041693612,0.279191031061576,203237581.11811996
12/04/2020,78675355.142548521388111483,278720175.7335725466704791644976904,0.2822736277898804,200044820.59102404
13/04/2020,78781417.306357370508438485,292193249.0991879876577685382691698,0.2696209359704071,213411831.7928306
14/04/2020,78727653.900581068606654108,277250158.2867379725194285275600859,0.2839589141700661,198522504.38615692
15/04/2020,79021766.698684698179054194,281904957.6325307628292750244727363,0.28031350481495004,202883190.93384606
16/04/2020,79346524.33084151278379449,278712718.5065510074814543226734717,0.28468928420637,199366194.17570952
17/04/2020,79962846.807189159420535601,307804889.4218881557887964094411139,0.2597841995212405,227842042.614699
18/04/2020,79958269.195016854563909652,301993732.8523293102839379638993143,0.2647679752815113,222035463.65731245
19/04/2020,81629304.041072672372903561,330291667.9690401991812816856088191,0.2471430918709223,248662363.92796755
20/04/2020,85637493.409600793332570808,341015362.1645856476701317931676785,0.25112503104264616,255377868.75498486
21/04/2020,86663662.359159095468036963,323326975.5936901505806361436651318,0.26803721588657436,236663313.23453104
22/04/2020,87753015.364495334702301588,327427591.9082108496799157925610321,0.2680073931860193,239674576.54371554
23/04/2020,87864199.602028270034372492,346739838.8380679892477639793652358,0.2534009356884485,258875639.23603976
24/04/2020,91559449.650561273836141139,355995064.0093664199344892290103975,0.2571930313285251,264435614.35880512
25/04/2020,93574811.643001005484647995,358763543.179314941278744182203142,0.26082586545375663,265188731.53631395
26/04/2020,94119118.167637786595324639,368231052.5760370044373410001554387,0.25559799345874795,274111934.4083992
27/04/2020,95111123.689876053727229258,386693070.035705214453748850758123,0.24596024873446526,291581946.3458291
28/04/2020,94914687.365917372364418994,378798309.7968667759740621566752068,0.25056787454203805,283883622.4309494
29/04/2020,95361073.11020225044599652,378383775.1574530413535846984909295,0.2520220986497653,283022702.0472508
30/04/2020,97839375.158401809976825959,418659178.3686486864858536749089504,0.23369695497813675,320819803.2102469
01/05/2020,97784506.927256287927564474,396592451.0069688253907456794215105,0.246561694956564,298807944.0797125
02/05/2020,96759977.806452951054115561,397841920.6437294552865346174896834,0.24321212216623664,301081942.8372765
03/05/2020,106355309.781529535271253631,413829528.1925455505423701048082683,0.2570027089319852,307474218.411016
04/05/2020,108876052.878099132433067314,408392312.9584721707292801795945976,0.26659672433445214,299516260.08037305
05/05/2020,109007898.742583117116937535,411746718.7965427837056510866535666,0.2647450332116609,302738820.05395967
06/05/2020,109432617.013967437209501412,409370903.8574075416459324992796203,0.26731899112225405,299938286.8434401
07/05/2020,109231709.761695404666428279,408578879.7482343805914790529214463,0.2673454629593282,299347169.986539
08/05/2020,109562090.860519826525875749,422003100.7643658584284706715015603,0.259623900066308,312441009.903846
09/05/2020,109224750.947099820435729666,425762867.3105777609972792364108066,0.25653893125307364,316538116.36347795
10/05/2020,110040664.181842299285522924,422131785.7875637980819032693687506,0.26067846081891555,312091121.6057215
11/05/2020,107236763.205145803910090659,387687969.1055713066837853976083626,0.27660585767608425,280451205.90042555
12/05/2020,106559175.536201386287787498,375176269.3696078263923572343795415,0.28402429534055573,268617093.83340645
13/05/2020,106236682.49113492088413539,380466016.9335179594976413875007889,0.27922778319961905,274229334.442383
14/05/2020,105365086.970070790583980124,402252318.9534768913458546590710298,0.261937798753267,296887231.9834061
15/05/2020,107070182.046513023521628491,407623437.4056587014205285578504315,0.2626693468068641,300553255.3591457
16/05/2020,107252019.00800544884903482,394138321.2483877607702362686629889,0.2721177140763604,286886302.2403823
17/05/2020,107653319.552041575645403592,404392552.3216953620663683658598806,0.26620994608823323,296739232.7696538
18/05/2020,108167862.785110826407223645,421043497.1585380445149392154414419,0.25690424745921614,312875634.3734272
19/05/2020,111685064.326216164234724019,431066210.5602636874351289421323043,0.25909027799014284,319381146.23404753
20/05/2020,112025538.475923811752130315,430162955.9046566604929167167347447,0.2604258152362931,318137417.4287329
21/05/2020,117552696.817004454281259806,435361530.4545546734067639693774046,0.2700116767190463,317808833.63755023
22/05/2020,116581332.257040001800308736,413620875.5050851110871754193383211,0.2818555328346979,297039543.2480451
23/05/2020,121459013.205561572103496393,444607159.5304773548999224690454372,0.2731827650589952,323148146.32491577
24/05/2020,118446165.016191450139078173,441770383.5039195081674698245041686,0.2681170341857934,323324218.487728
25/05/2020,118392808.711100954472839717,439124415.9877273411405568183433638,0.26961108150818425,320731607.2766264
26/05/2020,118322018.634455906668748207,434490577.8770080079065192523542851,0.2723235546616376,316168559.2425521
27/05/2020,117558056.296256657073661321,425729160.3946133507063451946319602,0.2761334370126085,308171104.09835666
28/05/2020,118004961.33629211729334103,435988754.9388007523530404723119739,0.2706605617680583,317983793.60250866
29/05/2020,118097225.383347261131624006,452130460.7405960905823667488542968,0.2612016566853344,334033235.35724884
30/05/2020,119554615.530082799670518668,465382849.184805231079012830523504,0.2568951901418422,345828233.6547224
31/05/2020,122924569.122798735202986038,501216993.2663509440525010232374996,0.2452521976992819,378292424.1435522
01/06/2020,127622591.331057073297537929,496705403.7812973791875748850210962,0.25693819789254824,369082812.4502403
02/06/2020,122198780.218528355601016727,500706890.5008086607124226443494046,0.24405252361577198,378508110.2822803
03/06/2020,119231552.582702191441793456,498617486.2077876240230833011793684,0.2391242904245342,379385933.6250855
04/06/2020,129436876.378582745570335441,505899995.079132424878081554988267,0.2558546701672459,376463118.7005497
05/06/2020,129261575.080611664448600529,507327882.2225942907461209998842965,0.25478902226764877,378066307.1419826
06/06/2020,129390249.085522602010731742,505141005.0729865919105157279805013,0.256146794233874,375750755.987464
07/06/2020,129495831.438020941888523034,505697509.2849095762136866580753275,0.2560736983283481,376201677.84688866
08/06/2020,132403445.888993704175897792,507132423.6481906442588763417040351,0.26108258852099153,374728977.7591969
09/06/2020,120654809.563732393614539136,504556021.9523633344722672747301254,0.23913065014438337,383901212.3886309
10/06/2020,118477063.192810705142688332,475283319.2516969659792082773134004,0.24927671221313893,356806256.05888623
11/06/2020,118724254.962864426688588882,481355862.9741192356033876227378975,0.24664549472673153,362631608.0112548
12/06/2020,122891803.621224134662251547,487285004.8345793362241627632808003,0.25219697384889306,364393201.2133552
