timestamp,totalBorrowBalanceUSD,totalValueLockedUSD,totalDepositBalanceUSD
1626825502,5238789209.653864402002949182,8678858809.381913301120210758985954,8678858809.381913301120210758985954
1626911860,5264340948.363685413329001322,9115012078.397584378631253276381617,9115012078.397584378631253276381617
1626997666,5291229531.701237585105180897,9318743022.892706231060705598462904,9318743022.892706231060705598462904
1627084727,5253839091.516965069763245474,9299247897.859783861950263836675735,9299247897.859783861950263836675735
1627170896,5318201305.500630019672728784,9626116908.60570762025328716928071,9626116908.60570762025328716928071
1627257284,5336882701.572062580280461159,9595869125.105258965303339386891189,9595869125.105258965303339386891189
1627343587,5344634582.46547806426570188,9843481311.632039213656901944700685,9843481311.632039213656901944700685
1627430205,5352421988.890434947116650717,9932256719.152078830501180738686381,9932256719.152078830501180738686381
1627515750,5388619130.511627746009179473,10113197621.20583205212822010096424,10113197621.20583205212822010096424
1627602699,5383294647.032534761164904691,10114682657.73952559419720871651294,10114682657.73952559419720871651294
1627689285,5398536921.058847941909508644,10489083110.86287456179584466699133,10489083110.86287456179584466699133
1627775944,5418611252.849832958349287952,10663432034.8053998297588522110521,10663432034.8053998297588522110521
1627862301,5440845767.349479502839020564,11019977084.68242870068357553403438,11019977084.68242870068357553403438
1627947700,5454565620.584226878145598965,10748650329.18554717073507248199624,10748650329.18554717073507248199624
1628033940,5465760104.703836447233092113,10472659631.71771963563387263330385,10472659631.71771963563387263330385
1628121338,5473971400.373831739681373837,11040391399.31621927671426171300797,11040391399.31621927671426171300797
1628207635,5473271078.800103655464844822,11288841634.3306685282203695100664,11288841634.3306685282203695100664
1628294044,5486016932.052688534837277888,11395208763.36689379565902921655019,11395208763.36689379565902921655019
1628380343,5531386874.623508026275186498,11925486203.36067158776834955622674,11925486203.36067158776834955622674
1628466292,5569170278.137950668483410174,11711482675.65054112786439676056665,11711482675.65054112786439676056665
1628553136,5560322390.128141629021874697,11814708678.47599241224926786272475,11814708678.47599241224926786272475
1628639767,5600092466.142320317059356831,12079945284.4986501163347839936801,12079945284.4986501163347839936801
1628725682,5639669004.784013368583207835,12243363552.98737884137279659230781,12243363552.98737884137279659230781
1628812488,5671938249.035617384876653174,11907494078.94943120812579429859668,11907494078.94943120812579429859668
1628898824,5706212983.777021128779263132,12476681333.59294291632796253732185,12476681333.59294291632796253732185
1628982493,5724106664.843412527494565643,12315867426.81011942408206043160318,12315867426.81011942408206043160318
1629071715,5754821403.581286107080941644,12313358413.20346921743118784260437,12313358413.20346921743118784260437
1629158252,5765830582.209004651175735171,12140133114.6438384161439193113428,12140133114.6438384161439193113428
1629244763,5759654878.080037137979195076,11715956264.50264589426289079455899,11715956264.50264589426289079455899
1629330840,5780722640.060193816080424717,11673354300.26423968816030303690856,11673354300.26423968816030303690856
1629417466,5793565511.715492380325552451,12081554500.51711583287835525178934,12081554500.51711583287835525178934
1629503896,5814361251.089707624895154288,12429902992.62177053273227242691065,12429902992.62177053273227242691065
1629589553,5823694214.355602096640790838,12326371062.01892695663002585575218,12326371062.01892695663002585575218
1629676792,5828836919.917788760005178441,12140594321.60117916290264347959079,12140594321.60117916290264347959079
1629763193,5840417453.229592751474464197,12600963242.31000478022611698326943,12600963242.31000478022611698326943
1629849101,5826320461.333723001611286376,12222288082.67032177923418678008595,12222288082.67032177923418678008595
1629935840,5828294890.424325076039494958,12269729314.46013231197711471046956,12269729314.46013231197711471046956
1630020545,5829609333.15510402777934161,12039097757.72643261829405369202628,12039097757.72643261829405369202628
1630107897,5863233221.001547496372308576,12433240126.52727384941213453829724,12433240126.52727384941213453829724
1630194683,5872166055.683885946145393414,12354749679.00121580699333980951832,12354749679.00121580699333980951832
1630280722,5882072974.75409092906864766,12375013029.14454881026792764402691,12375013029.14454881026792764402691
1630367743,5886679776.283659374221697128,12585590638.47647247820774218279762,12585590638.47647247820774218279762
1630453738,5901796660.043912245925225767,12732618552.50891876363311404336054,12732618552.50891876363311404336054
1630540655,5924407415.36161311800608841,13538705357.36780434048696293195665,13538705357.36780434048696293195665
1630625154,6107615205.107656492022554481,13801217226.00037046458331512964613,13801217226.00037046458331512964613
1630712324,6158303350.927777275449655931,13944443203.27852492183890754511671,13944443203.27852492183890754511671
1630799967,6160282944.629117293481111495,13872505206.85572969624995450031937,13872505206.85572969624995450031937
1630886257,6191731095.395288168273769067,14168223946.28993146889008063135333,14168223946.28993146889008063135333
1630971408,6226094280.14261059573300613,14162435861.05773975535088930072184,14162435861.05773975535088930072184
1631058936,6247415056.269078383117785795,12850689378.56649008327293723539732,12850689378.56649008327293723539732
1631144999,6244624004.587829846442958677,13175585833.53388067492341121590202,13175585833.53388067492341121590202
1631231972,6238388657.336202951104877769,13146363408.80537233552106288110411,13146363408.80537233552106288110411
1631317295,6211845378.326530804275355353,12418974806.76212195082361793639256,12418974806.76212195082361793639256
1631402790,6301999527.840966558785658966,12657527194.11660929301866089678547,12657527194.11660929301866089678547
1631490912,6310426681.089116590258977504,12728253899.64601875693906040931206,12728253899.64601875693906040931206
1631576955,6300410981.743082995201035861,12634899738.50282520188021553388174,12634899738.50282520188021553388174
1631663491,6304634187.180978214542372376,12874619985.1486669390800699060121,12874619985.1486669390800699060121
1631749468,6304557944.387477589202304554,13398787829.64565726379386542918582,13398787829.64565726379386542918582
1631836781,6324248470.982960814261523816,13284380283.39217534660409216711886,13284380283.39217534660409216711886
1631922502,6335759017.334154200278285353,12923677122.83325314800954891566773,12923677122.83325314800954891566773
1632008968,6337896443.242680239613240262,12960514991.93129568395686622157187,12960514991.93129568395686622157187
1632094753,6335758106.208297726599202677,12898002237.39304513172032322360876,12898002237.39304513172032322360876
1632181980,6178945944.919320471684893836,11849750154.35426107200415701364889,11849750154.35426107200415701364889
1632268740,6139473759.111039646580531805,11402704980.83709775196131800178257,11402704980.83709775196131800178257
1632354397,6059835936.226309007033231005,11935230102.48791920012607328164239,11935230102.48791920012607328164239
1632441242,6101293008.817189553389694087,12250782019.76734823388023195375632,12250782019.76734823388023195375632
1632527909,6076010131.341477465623194553,11714349032.27911625414883529608486,11714349032.27911625414883529608486
1632613420,6077583738.752359107070513905,11625078705.91941315193951983891798,11625078705.91941315193951983891798
1632700391,6088133663.079589955013057374,12085507905.67165730793089082881827,12085507905.67165730793089082881827
1632785548,6239283446.569537620619747818,11852088658.06250339524275603409777,11852088658.06250339524275603409777
1632872919,6222277586.854485769526050265,11525166127.09343035003638903269116,11525166127.09343035003638903269116
1632958843,6198856304.755824404881936192,11413753544.09269414165538977872436,11413753544.09269414165538977872436
1633044738,6184964691.146898630185588938,11724749492.30314416599236885602643,11724749492.30314416599236885602643
1633132597,6226755957.208643183056308184,12709718363.91331652929813203340851,12709718363.91331652929813203340851
1633219023,6241261245.764187619008584944,13004545190.48547836200591342701089,13004545190.48547836200591342701089
1633305498,6262703562.930940304029767443,12929880880.66171189463778950717769,12929880880.66171189463778950717769
1633391666,6281996728.756538860475844659,12907689836.78083963425958390569908,12907689836.78083963425958390569908
1633478063,6308908306.541400546599515165,13343940592.01367714921218542692687,13343940592.01367714921218542692687
1633564135,6408675674.793237230201009388,13551459695.19225522896079154285175,13551459695.19225522896079154285175
1633650733,6458233161.123613873052232381,13746220043.83911587564399054147535,13746220043.83911587564399054147535
1633737593,6499150292.925112918328611919,13574525723.75698025313118027444742,13574525723.75698025313118027444742
1633823612,6532603691.716514286921209088,13677360003.41403779394666169591791,13677360003.41403779394666169591791
1633910043,6544814340.948169677833312125,13460004075.39954632723552266091389,13460004075.39954632723552266091389
1633996335,6548882522.773698805292781624,13620827877.19332923839567923701362,13620827877.19332923839567923701362
1634083099,6593873085.210404943182495092,13544054721.61917666144435401074156,13544054721.61917666144435401074156
