timestamp,totalBorrowBalanceUSD,totalValueLockedUSD,totalDepositBalanceUSD
1664582087,6448845994.538778974715924965,8631554959.041094973610971117634593,8631554959.041094973610971117634593
1664668547,6446053877.901922922475079256,9093884736.624668473158350031096232,9093884736.624668473158350031096232
1664755079,6413507330.862732757319934829,9045465589.626507670840498748718803,9045465589.626507670840498748718803
1664841107,6366599960.3282263886425083,9055295855.576431270952093260981109,9055295855.576431270952093260981109
1664927987,6386079622.906730954159949975,9174401640.025697993550806277220448,9174401640.025697993550806277220448
1665014123,6377573073.719732008718395242,9162433034.733890147855672090313916,9162433034.733890147855672090313916
1665099743,6368114087.48903894149204107,9154257075.015803453472098976861703,9154257075.015803453472098976861703
1665187127,6351857715.915962614571518963,9063336108.338718320614982573819134,9063336108.338718320614982573819134
1665272579,6352840195.444849029541448991,9059930991.252231820318749155370082,9059930991.252231820318749155370082
1665358895,6345144744.277490130280333346,9052722703.434231205176293527209753,9052722703.434231205176293527209753
1665444743,6319514156.355319849067859891,9235000019.735479040681872956844415,9235000019.735479040681872956844415
1665532799,6285437024.674521969881482069,9134911920.899015801400619838990126,9134911920.899015801400619838990126
1665619067,6240558699.5299167777228123,9172564696.262819967777025071380249,9172564696.262819967777025071380249
1665704783,6076564390.250031260731515575,8997205843.922398338317268505457566,8997205843.922398338317268505457566
1665791063,6068735235.011106367925016714,8997371687.29658048412983370611944,8997371687.29658048412983370611944
1665875591,6058163640.430400349711514246,8936319365.497084223924046092104505,8936319365.497084223924046092104505
1665963767,6060549316.384412736855175379,9011606615.23444350150731353449495,9011606615.23444350150731353449495
1666047695,6040434820.755477334504517531,9043302592.509724275754111187804506,9043302592.509724275754111187804506
1666135931,6041641984.203257302069900708,9005922200.342475156068244587417865,9005922200.342475156068244587417865
1666221635,5916266498.533493060245802281,8845813292.493478433133037382606463,8845813292.493478433133037382606463
1666309247,5836252671.689809030797740116,8730980017.155408760104888430115655,8730980017.155408760104888430115655
1666395671,5786771326.212492345037477085,8717888803.016107497855572379295523,8717888803.016107497855572379295523
1666480979,5794406823.872901721686604542,8754103970.39138081339618987800329,8754103970.39138081339618987800329
1666568519,5826462039.684343945712578968,8834389104.269322031301477524288082,8834389104.269322031301477524288082
1666654907,5824542290.85113298968653294,8866935605.182353210039290760968371,8866935605.182353210039290760968371
1666741919,5829643472.509697356960986226,9088232280.043381741475949808521654,9088232280.043381741475949808521654
1666828523,5831177160.542831243541026576,9281738134.74571300356410019635251,9281738134.74571300356410019635251
1666915151,5836423612.7624763619667551,9216301619.493040773051918193175462,9216301619.493040773051918193175462
1667001539,5804806206.882830165576523257,9271490781.345236379460719750581591,9271490781.345236379460719750581591
1667087759,5820964041.339019756243281336,9414757107.626795554272564327683653,9414757107.626795554272564327683653
1667173643,5812917111.24433178387209716,9344617145.686249133790637356009824,9344617145.686249133790637356009824
1667260271,5720873982.502092218557193366,9177281812.347115284768110702321922,9177281812.347115284768110702321922
1667346563,5712916957.054776716852519894,9152577686.456675612049230439796435,9152577686.456675612049230439796435
1667433347,5719354026.90768261614913333,9029963479.686135321476441531286969,9029963479.686135321476441531286969
1667517371,5694489080.550826863816884538,9059119084.112406958685790238196813,9059119084.112406958685790238196813
1667606267,5724285003.244926344964638557,9349085679.495268176673218253766262,9349085679.495268176673218253766262
1667691503,5758374596.162205240520394924,9381273928.896503434840320948902823,9381273928.896503434840320948902823
1667779091,5813728502.495518243161726385,9382948509.112739496317969168283825,9382948509.112739496317969168283825
1667864603,5821340094.232501336914776865,9353351292.758983119230419971493727,9353351292.758983119230419971493727
1667951819,5787188282.245747064267499768,8639147259.2826172711897883363562,8639147259.2826172711897883363562
1668038351,5508293914.054741726086968721,7760397980.552542879482355895040902,7760397980.552542879482355895040902
1668124583,5422739009.625098117890152358,8255339122.862059258985749893001861,8255339122.862059258985749893001861
1668210539,5428095473.842678828168868025,8051109272.43134769119130368179103,8051109272.43134769119130368179103
1668297587,5474129187.048066286031111874,8122396394.798272573217245031890617,8122396394.798272573217245031890617
1668383699,5469456205.116200791714491652,8034124883.873733774318947179350571,8034124883.873733774318947179350571
1668468707,5499006348.411263957849003749,8018738092.731970638143227361432741,8018738092.731970638143227361432741
1668555851,5470491721.179387281064360385,8022555735.119554590474788798933536,8022555735.119554590474788798933536
1668643091,5467749611.120556687451269626,7942307624.651974458462703839906013,7942307624.651974458462703839906013
1668729431,5484275368.625498215129715786,7961121249.79656255923035589833052,7961121249.79656255923035589833052
1668815579,5463240464.902220577714663853,7927936680.785231045310593294109895,7927936680.785231045310593294109895
1668902063,5466558940.49021845819404166,7939915862.674232633089924347153783,7939915862.674232633089924347153783
1668988355,5442457491.666182362803576802,7781334694.613980135337421195494311,7781334694.613980135337421195494311
1669075199,5389811371.318674770464414225,7831264851.337722181586448698506049,7831264851.337722181586448698506049
1669161419,5401888653.557419206110331334,7844017457.153882095740855393148481,7844017457.153882095740855393148481
1669247975,5278976932.508692156834718446,7840671826.361755317603858592288462,7840671826.361755317603858592288462
1669334387,5300022015.023112070256238086,7880821162.496317664093393720051397,7880821162.496317664093393720051397
1669420019,5289097520.699401270592688182,7865416136.479668049617172207744841,7865416136.479668049617172207744841
1669507187,5302881689.322778375691006669,7892934418.166248241410249177903303,7892934418.166248241410249177903303
1669557695,5299584190.874370760344294339,7899538364.97915136317699052717978,7899538364.97915136317699052717978
