timestamp,totalBorrowBalanceUSD,totalValueLockedUSD,totalDepositBalanceUSD
1613433542,448987738.1467269466312265765963623,2254185300.770946618482902219715791,2254185300.770946618482902219715791
1613519950,434005672.8168825803789900586223923,2180178831.221765209119105676899112,2180178831.221765209119105676899112
1613606351,444600177.4575977843568115565754022,2258560888.922089858729493669683526,2258560888.922089858729493669683526
1613692729,476402140.3732057803648250279556223,2330204207.535752149964642033410972,2330204207.535752149964642033410972
1613779165,481556186.1664311216479749455616896,2325637702.302742118764314417220352,2325637702.302742118764314417220352
1613865595,505332208.5698125542801979114068107,2460855261.379155195078451854731227,2460855261.379155195078451854731227
1613951961,529076809.8434741249558743761972263,2474216392.728056498585726555297559,2474216392.728056498585726555297559
1614038364,521923006.789844530201790195120658,2378902343.080149778751207729134209,2378902343.080149778751207729134209
1614124765,473017693.5913668295868308882550731,2181223431.603249867412509013870443,2181223431.603249867412509013870443
1614211173,492878549.3075614686052182541794646,2436701668.87198986921036332826755,2436701668.87198986921036332826755
1614297578,491092550.3672041323323556760299495,2348240353.103962718822604452682107,2348240353.103962718822604452682107
1614383914,472238003.3280553334803522967940456,2250400735.433818976558844616197316,2250400735.433818976558844616197316
1614470317,479515139.2712340515787097828274139,2324930400.173542421621372109781198,2324930400.173542421621372109781198
1614556748,488287098.1172359249806749394013688,2410865723.845602949584060131998267,2410865723.845602949584060131998267
1614643139,523732487.2038072614840169844207742,2624336410.082572679325161829816783,2624336410.082572679325161829816783
1614729589,525686231.2502162536929880793661465,2634715124.006372454522897566329922,2634715124.006372454522897566329922
1614815903,552320846.363796992596946364191876,2766127552.872207203892708316054483,2766127552.872207203892708316054483
1614902318,548439784.2282885666869346343013574,2704498925.962293822417510531835565,2704498925.962293822417510531835565
1614988788,544935824.9639564802664134090003869,2688575146.565342588682211324822776,2688575146.565342588682211324822776
1615075195,594047540.1569743756937485246019282,2782598283.403532442039332158695201,2782598283.403532442039332158695201
1615161527,663494293.9927876874581702487450803,2840596550.608082318505341627988007,2840596550.608082318505341627988007
1615247910,648887346.0680080179027796728375698,2915557687.269562307523691190568091,2915557687.269562307523691190568091
1615334199,608878820.2257466924285661383629614,2897080227.754939654196582854515679,2897080227.754939654196582854515679
1615420522,617425976.7209892563987408737497198,2892424224.83466966110680486859922,2892424224.83466966110680486859922
1615507053,644103087.6155740529168373395657113,2990882490.795507662442147181913143,2990882490.795507662442147181913143
1615593564,613888783.2243560261157744940641546,3106667452.776224979369225975392412,3106667452.776224979369225975392412
1615679985,711709747.6810974617268647560686169,3545230309.087512175536321054738015,3545230309.087512175536321054738015
1615766366,726537619.6170852294208247332230569,3472843526.8349271215015173853109,3472843526.8349271215015173853109
1615852729,741244262.8421592671594270747477874,3418320602.292916748449879662838267,3418320602.292916748449879662838267
1615939066,741368353.8137256903522262541523543,3401658450.516643321082725312643404,3401658450.516643321082725312643404
1616025561,744284578.1509267994837388486811984,3473404063.836181688233145169200925,3473404063.836181688233145169200925
1616111949,739930906.5988097816618931124961797,3417040865.737499644507307921983112,3417040865.737499644507307921983112
1616198187,746362838.4680278630443532123212769,3509635957.991393111779559155427906,3509635957.991393111779559155427906
1616284647,771882647.2708228399484764695286523,3539684173.842687587555965641974108,3539684173.842687587555965641974108
1616371084,766287527.4576492640591504484168747,3481206565.393930307835705119887984,3481206565.393930307835705119887984
1616457409,756265203.5684753354358187180293518,3301629216.538646278510706464877264,3301629216.538646278510706464877264
1616543966,775066443.5035155495150104922141029,3277817892.571269402795234688217888,3277817892.571269402795234688217888
1616630329,768022595.5972077177517464055460875,3157697021.610088905836664475790194,3157697021.610088905836664475790194
1616716729,724106153.6001711060890853617126798,3175723145.379232390373574564968412,3175723145.379232390373574564968412
1616803146,764200182.170072126530645643926036,3412506003.086070328447763509051075,3412506003.086070328447763509051075
1616889433,795521000.9811448741170733652653101,3456656046.717278957289485592414172,3456656046.717278957289485592414172
1616975925,773339010.5041415341143022639495975,3390797646.409706222832589332958364,3390797646.409706222832589332958364
