Date,total_value_locked,total_borrowed
2019-12-20,80710369.68,25848468.70
2019-12-21,80878294.04,25850018.98
2019-12-22,81399928.11,25902602.06
2019-12-23,83267949.59,26424948.02
2019-12-24,81261048.50,25920553.47
2019-12-25,80226799.41,26796715.48
2019-12-26,83365711.15,25930211.76
2019-12-27,80192130.66,26776129.65
2019-12-28,84209805.50,26095215.93
2019-12-29,79901995.08,26113894.20
2019-12-30,80135808.78,26346606.58
2019-12-31,79782065.63,26599214.37
2020-01-01,80396219.88,26549157.47
2020-01-02,81916478.46,26416368.61
2020-01-03,82565542.49,26651965.43
2020-01-04,83241751.72,26851381.37
2020-01-05,84127296.99,26718860.36
2020-01-06,87240712.77,26982792.40
2020-01-07,91319878.49,27704751.71
2020-01-08,85266087.05,27527764.09
2020-01-09,82707259.11,27372753.53
2020-01-10,84086219.16,28313848.97
2020-01-11,86906691.91,28633166.11
2020-01-12,87610547.20,28444370.69
2020-01-13,87889527.51,28538434.30
2020-01-14,89676331.27,29230211.74
2020-01-15,96733389.86,30950462.46
2020-01-16,95460172.36,31256593.38
2020-01-17,97023678.50,30903012.54
2020-01-18,96532944.27,31228261.91
2020-01-19,95948964.03,31273313.93
2020-01-20,82729013.02,30822304.21
2020-01-21,87262157.07,31034259.17
2020-01-22,88345077.97,31623700.78
2020-01-23,86108492.23,31521223.31
2020-01-24,84713229.56,31357094.56
2020-01-25,85139091.54,31415252.35
2020-01-26,87142475.20,31553420.26
2020-01-27,90173200.29,31908070.99
2020-01-28,92493607.10,31901411.92
2020-01-29,95521424.37,32573648.36
2020-01-30,95217967.50,32581685.72
2020-01-31,97567048.03,33029816.81
2020-02-01,98549676.32,32394739.39
2020-02-02,102318077.90,32360285.32
2020-02-03,100945247.00,32440162.27
2020-02-04,100849644.30,32833725.30
2020-02-05,106299892.11,33182789.12
2020-02-06,112529932.16,34145886.72
2020-02-07,118909098.93,35001745.19
2020-02-08,119640562.94,34915853.91
2020-02-09,121540603.11,34866284.84
2020-02-10,116952184.83,35183661.48
2020-02-11,118038527.86,35870987.55
2020-02-12,130395556.30,36170200.49
2020-02-13,133119530.97,36129577.82
2020-02-14,132416132.09,35986015.68
2020-02-15,136782735.15,36482877.43
2020-02-16,132348121.32,37252403.32
2020-02-17,127992851.43,37428255.53
2020-02-18,141092463.23,38351116.87
2020-02-19,163019537.97,43038971.15
2020-02-20,154921287.81,44712735.23
2020-02-21,157302014.37,45270080.36
2020-02-22,156414310.29,45187792.81
2020-02-23,160822081.27,44237585.23
2020-02-24,157961748.44,44052973.54
2020-02-25,154825793.12,44445559.02
2020-02-26,144300765.01,44096947.49
2020-02-27,143417779.20,44368836.84
2020-02-28,140876000.21,45732868.24
2020-02-29,142727649.57,45631801.77
2020-03-01,145347903.08,45707087.78
2020-03-02,146714360.72,46883135.61
2020-03-03,150595281.22,45666150.47
2020-03-04,146532048.06,45665687.47
2020-03-05,150132555.37,46070105.14
2020-03-06,146644602.26,45015079.32
2020-03-07,148971401.33,42701696.13
2020-03-08,138904548.33,42238084.06
2020-03-09,119729731.12,40588875.88
2020-03-10,108219999.46,38619639.59
2020-03-11,103982531.58,35441351.46
2020-03-12,77358611.12,35412560.25
2020-03-13,79393236.38,31701519.59
2020-03-14,78666277.64,29953165.53
2020-03-15,75567324.32,27330379.31
2020-03-16,66239689.08,24380634.33
2020-03-17,70682345.46,23664947.89
2020-03-18,70125699.17,22609581.76
2020-03-19,73733984.67,22892547.68
2020-03-20,83554018.93,23465775.52
2020-03-21,76651586.84,23634847.60
2020-03-22,77048573.57,22506770.13
2020-03-23,74175137.43,21745985.17
2020-03-24,79396753.81,21306035.11
